,A
Price/Earnings (TTM),32.40334
Price/Sales (TTM),4.6424
Price/Book (MRQ),5.0196
Price/Cash Flow (TTM),23.66858
5yr Low,33.12
5yr High,90.64
5yr Avg Return,0.1275666666666667
EPS Growth 5yr,0.3745425
Revenue Growth 5yr,0.0498623
Dividend Growth 5yr,0.0443394
Short Int Current Month,4851353.0
Short Int Prev Month,4767556.0
Short Int Pct of Float,0.0157313
Days to Cover,2.41083
Float,308.5089
Shares Outstanding,309.6514
Institutions Holding Shares,1048.0
% Held by Institutions,0.8498739999999999
FCF Growth 5yr,-0.02972508429574001
