,AAL
% Above Low,0.1155
% Held by Institutions,0.8162
52-Wk Range,['9.09 - 34.99']
Annual Dividend $,
Annual Dividend %,
Ask,9.95
Ask Size,100.0
Ask close,10.14
B/A Ratio,13.0
B/A Size,1300x100
Beta,1.8
Bid,9.93
Bid Size,1300.0
Bid close,10.12
Change Since Close,-0.20| |(-1.97%)
Closing Price,10.14
Day Change $,0.6
Day Change %,0.0629
Day High,10.15
Day Low,9.68
Dividend Pay Date,02/19/20
"EPS (TTM, GAAP)",-1.87
Ex-dividend Date,02/04/20
Historical Volatility,0.78
Last (size),289.0
Last (time),3:59p ET 05/08/20
Last Trade,9.94
Market Cap,4.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,9.54
Short Interest,0.1937
Today's Open,9.78
Volume,59414115.0
Volume 10-day Avg,90062083.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-6.088659793814434
Growth 1yr High Est,-1.6862745098039216
Growth 1yr Consensus Est,-3.8874671518091777
Growth 2yr Low Est,-3.334848535480961
Growth 2yr High Est,-2.0088515406162464
Growth 2yr Consensus Est,-2.6718500380486034
Growth 5yr Low Est,-1.6534066884077294
Growth 5yr High Est,-0.9912139497731793
Growth 5yr Consensus Est,-1.3223103190904544
Growth 5yr Actual/Est,-1.2793569534030977
Growth 3yr Historic,0.002325031525851229
Price/Earnings (TTM),
Price/Sales (TTM),0.09232
Price/Book (MRQ),
Price/Cash Flow (TTM),2.42891
5yr Low,9.09
5yr High,59.08
5yr Avg Return,-0.17155
EPS Growth 5yr,-0.0067816
Revenue Growth 5yr,0.0142116
Dividend Growth 5yr,
Short Int Current Month,81535899.0
Short Int Prev Month,55241201.0
Short Int Pct of Float,0.1937313
Days to Cover,1.04128
Float,417.9177
Shares Outstanding,422.8945
Institutions Holding Shares,722.0
FCF Growth 5yr,0.9708239093662826
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6033
Operating Profit Margin (TTM),0.0032
Net Profit Margin (TTM),-0.0169
Annual Dividend Yield,
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-6.5395
EPS Growth (TTM),-1.5997000000000001
Revenue Growth (MRQ),-0.24730000000000002
Revenue Growth (TTM),-0.0229
Return On Equity (TTM),
Return On Assets (TTM),-0.0124
Return On Investment (TTM),-0.0184
Revenue Per Employee (TTM),328564.0
Total Debt/Total Capital (MRQ),1.1174
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),0.28
Interest Coverage (MRQ),-5.06
newConstructs,4
researchTeam,reduce
cfra,2
theStreet,sell
ford,4
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,underperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
cfra since,2020-05-01 00:00:00
theStreet since,2020-05-01 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-07-10 00:00:00
