,ABC
% Below High,0.0965
% Held by Institutions,0.657
52-Wk Range,['72.06 - 97.50']
Annual Dividend $,1.68
Annual Dividend %,0.0189
Ask,90.4
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.6
Bid,88.0
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,88.09
Day Change $,-0.65
Day Change %,-0.0073
Day High,92.4
Day Low,87.09
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",7.59
Ex-dividend,2020-05-15 00:00:00
Ex-dividend Date,05/15/20
Historical Volatility,0.41200000000000003
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,18.1B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",11.69
Prev Close,88.74
Short Interest,0.0286
Today's Open,90.54
Volume,1175562.0
Volume 10-day Avg,1520230.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.09957325746799428
Growth 1yr High Est,0.0807799442896937
Growth 1yr Consensus Est,-0.009396656589150287
Growth 2yr Low Est,0.05684844235605019
Growth 2yr High Est,0.09580234327886739
Growth 2yr Consensus Est,0.07632539281745879
Growth 5yr Low Est,0.07654586697408952
Growth 5yr High Est,0.09947910654636932
Growth 5yr Consensus Est,0.08801248676022942
Growth 5yr Actual/Est,0.0859187505927338
Growth 3yr Historic,0.049047854889259224
Price/Earnings (TTM),11.6889
Price/Sales (TTM),0.09815
Price/Book (MRQ),4.93125
Price/Cash Flow (TTM),9.06202
5yr Low,68.38
5yr High,115.85
5yr Avg Return,-0.029433333333333332
EPS Growth 5yr,0.26406810000000003
Revenue Growth 5yr,0.0847563
Dividend Growth 5yr,0.11223979999999999
Short Int Current Month,4256753.0
Short Int Prev Month,4019793.0
Short Int Pct of Float,0.0286316
Days to Cover,2.9494
Float,148.6923
Shares Outstanding,205.8918
Institutions Holding Shares,977.0
FCF Growth 5yr,0.009114226582805519
"Price/Earnings (TTM, GAAP)",11.69
"PEG Ratio (TTM, GAAP)",1.44
Gross Profit Margin (TTM),0.027000000000000003
Operating Profit Margin (TTM),0.0062
Net Profit Margin (TTM),0.0086
Annual Dividend Yield,0.0189
Dividend Change %,0.0526
"Dividend Growth Rate, 3 Years",0.055700000000000006
EPS Growth (MRQ),4.1289
EPS Growth (TTM),0.8971
Revenue Growth (MRQ),-0.009300000000000001
Revenue Growth (TTM),0.06280000000000001
Return On Equity (TTM),0.47759999999999997
Return On Assets (TTM),0.0394
Return On Investment (TTM),0.16399999999999998
Revenue Per Employee (TTM),8461793.0
Total Debt/Total Capital (MRQ),0.528
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),0.63
Interest Coverage (MRQ),18.23
newConstructs,1
researchTeam,hold
creditSuisse,outperform
cfra,4
theStreet,buy
ford,1
marketEdge opinion,neutralfromlong
marketEdge,-2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
creditSuisse since,2007-06-11 00:00:00
cfra since,2019-08-20 00:00:00
theStreet since,2019-12-09 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
