,ABT
% Below High,0.063
% Held by Institutions,0.7394
52-Wk Range,['61.61 - 100.00']
Annual Dividend $,1.44
Annual Dividend %,0.015300000000000001
Ask,93.7
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,1.0
Bid,93.6
Bid Size,700.0
Change Since Close,-0.10| |(-0.11%)
Closing Price,93.7
Day Change $,-0.29
Day Change %,-0.0031
Day High,94.94
Day Low,92.9
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",1.99
Ex-dividend,2020-04-14 00:00:00
Ex-dividend Date,04/14/20
Historical Volatility,0.358
Last (size),3.0
Last (time),6:30p ET 05/08/20
Last Trade,93.6
Market Cap,165.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",47.17
Prev Close,93.99
Short Interest,0.0123
Today's Open,94.84
Volume,6168990.0
Volume 10-day Avg,6883807.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.3240740740740742
Growth 1yr High Est,0.09509202453987742
Growth 1yr Consensus Est,-0.11449102476709838
Growth 2yr Low Est,0.05029173008625065
Growth 2yr High Est,0.1315796257153169
Growth 2yr Consensus Est,0.09093567790078377
Growth 5yr Low Est,0.09666909987281175
Growth 5yr High Est,0.1356689171302234
Growth 5yr Consensus Est,0.11616900850151757
Growth 5yr Actual/Est,0.11181914452733063
Growth 3yr Historic,0.06925000000000003
Price/Earnings (TTM),47.16905
Price/Sales (TTM),5.18005
Price/Book (MRQ),5.50181
Price/Cash Flow (TTM),25.03822
5yr Low,36.0
5yr High,100.0
5yr Avg Return,0.14446666666666666
EPS Growth 5yr,0.1239922
Revenue Growth 5yr,0.09520870000000001
Dividend Growth 5yr,0.07298460000000001
Short Int Current Month,21447408.0
Short Int Prev Month,17772257.0
Short Int Pct of Float,0.0122575
Days to Cover,2.35609
Float,1756.006
Shares Outstanding,1768.845
Institutions Holding Shares,2617.0
FCF Growth 5yr,0.25499354980672534
"Price/Earnings (TTM, GAAP)",47.17
"PEG Ratio (TTM, GAAP)",4.49
Gross Profit Margin (TTM),0.5847
Operating Profit Margin (TTM),0.1398
Net Profit Margin (TTM),0.1106
Annual Dividend Yield,0.015300000000000001
Dividend Change %,0.1429
"Dividend Growth Rate, 3 Years",0.0717
EPS Growth (MRQ),-0.4771
EPS Growth (TTM),0.341
Revenue Growth (MRQ),-0.0707
Revenue Growth (TTM),0.0447
Return On Equity (TTM),0.1162
Return On Assets (TTM),0.05280000000000001
Return On Investment (TTM),0.06230000000000001
Revenue Per Employee (TTM),299953.0
Total Debt/Total Capital (MRQ),0.37520000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.01
Interest Coverage (MRQ),6.27
newConstructs,4
researchTeam,hold
theStreet,buy
cfra,4
ford,3
marketEdge opinion,long
marketEdge,0
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
theStreet since,2017-07-05 00:00:00
cfra since,2018-01-24 00:00:00
ford since,2019-10-18 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-12-17 00:00:00
