,ADM
Price/Earnings (TTM),12.5834
Price/Sales (TTM),0.30019
Price/Book (MRQ),1.01793
Price/Cash Flow (TTM),7.56921
5yr Low,28.92
5yr High,53.31
5yr Avg Return,-0.03293333333333333
EPS Growth 5yr,-0.0603916
Revenue Growth 5yr,-0.0445466
Dividend Growth 5yr,0.0783788
Short Int Current Month,7686130.0
Short Int Prev Month,7004358.0
Short Int Pct of Float,0.013862600000000001
Days to Cover,2.48174
Float,554.7309
Shares Outstanding,555.4962
Institutions Holding Shares,1032.0
% Held by Institutions,0.785605
FCF Growth 5yr,-1.3253852633291883
