,2015,2016,2017,2018,2019,2020,Report
high,90.67,103.88,121.77,153.51,174.5,182.32,
low,64.29,76.65,94.11,107.61,126.06,103.11,
change,-0.029300000000000003,0.23940000000000003,0.14470000000000002,0.1301,0.3201,-0.151,
Date,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,,Balance Sheet
Cash & Equivalents,1639.0,3191.0,2780.0,2170.0,1949.0,,Balance Sheet
Short Term Investments,27.0,24.0,3.0,3.0,11.0,,Balance Sheet
Cash and Short Term Invs,1666.0,3215.0,2784.0,2173.0,1960.0,,Balance Sheet
"Trade Accts Recvble, Gross",1565.0,1781.0,1753.0,2036.0,2494.0,,Balance Sheet
Prov. for Doubtful Accts,-35.0,-38.0,-50.0,-51.0,-55.0,,Balance Sheet
"Trade Accts Recvble, Net",1530.0,1743.0,1704.0,1984.0,2439.0,,Balance Sheet
Other Receivables,17.0,,,,,,Balance Sheet
"Total Receivables, Net",1547.0,1743.0,1704.0,1984.0,2439.0,,Balance Sheet
Restricted Cash - Current,24865.0,33841.0,27292.0,27138.0,29434.0,,Balance Sheet
Discont. Ops.-Curr. Assets,0.0,,,,,,Balance Sheet
Other Current Assets,731.0,702.0,880.0,528.0,509.0,,Balance Sheet
"Other Curr. Assets, Total",25596.0,34543.0,28172.0,27666.0,29943.0,,Balance Sheet
Total Current Assets,28809.0,39500.0,32659.0,31823.0,34342.0,,Balance Sheet
Land/Improvements,731.0,746.0,778.0,792.0,781.0,,Balance Sheet
Machinery/Equipment,589.0,605.0,654.0,707.0,749.0,,Balance Sheet
Other Prop./Plant/Equip.,457.0,490.0,600.0,637.0,652.0,,Balance Sheet
Prop./Plant/Equip. - Gross,1776.0,1841.0,2031.0,2136.0,2182.0,,Balance Sheet
Accumulated Depreciation,-1104.0,-1156.0,-1252.0,-1343.0,-1418.0,,Balance Sheet
Prop./Plant/Equip. - Net,673.0,685.0,780.0,794.0,764.0,,Balance Sheet
"Goodwill, Net",1794.0,1682.0,1741.0,2244.0,2323.0,,Balance Sheet
Intangibles - Gross,2483.0,2623.0,2818.0,3238.0,3618.0,,Balance Sheet
Accum. Intangible Amort.,-1980.0,-2089.0,-2197.0,-2352.0,-2546.0,,Balance Sheet
Intangibles - Net,503.0,534.0,620.0,886.0,1072.0,,Balance Sheet
Long Term Investments,29.0,8.0,8.0,7.0,261.0,,Balance Sheet
Note Rcvble - Long Term,32.0,27.0,28.0,26.0,24.0,,Balance Sheet
Other Long Term Assets,1271.0,1234.0,1345.0,692.0,673.0,,Balance Sheet
Total Assets,33111.0,43670.0,37180.0,38849.0,41888.0,,Balance Sheet
Accounts Payable,195.0,152.0,150.0,135.0,126.0,,Balance Sheet
Accrued Expenses,1787.0,1864.0,1944.0,2215.0,2480.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Dividends Payable,226.0,238.0,251.0,299.0,340.0,,Balance Sheet
Customer Advances,229.0,233.0,233.0,226.0,221.0,,Balance Sheet
Income Taxes Payable,27.0,28.0,49.0,44.0,55.0,,Balance Sheet
Discontinued Operations,0.0,,,,,,Balance Sheet
Other Current Liabilities,24651.0,33332.0,27189.0,27494.0,29407.0,,Balance Sheet
"Other Curr. Lblts, Total",25133.0,33832.0,27722.0,28062.0,30022.0,,Balance Sheet
Total Current Liabilities,27114.0,35847.0,29816.0,30413.0,32628.0,,Balance Sheet
Total Long Term Debt,9.0,2008.0,2002.0,2002.0,2002.0,,Balance Sheet
Total Debt,9.0,2008.0,2002.0,2002.0,2002.0,,Balance Sheet
Deferred Income Tax,172.0,251.0,163.0,522.0,660.0,,Balance Sheet
"Other Liabilities, Total",1007.0,1082.0,1222.0,1176.0,1198.0,,Balance Sheet
Total Liabilities,28302.0,39188.0,33203.0,34113.0,36488.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Common Stock,64.0,64.0,64.0,64.0,64.0,,Balance Sheet
Additional Paid-In Capital,663.0,768.0,868.0,1015.0,1183.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),13460.0,14003.0,14728.0,16547.0,17501.0,,Balance Sheet
Treasury Stock - Common,-9118.0,-10139.0,-11304.0,-12210.0,-13091.0,,Balance Sheet
Unrealized Gain (Loss),144.0,334.0,68.0,-274.0,225.0,,Balance Sheet
Cum. Trans. Adjustment,-228.0,-254.0,-231.0,-227.0,-269.0,,Balance Sheet
Min. Pension Lblty Adj.,-176.0,-295.0,-217.0,-179.0,-213.0,,Balance Sheet
"Other Equity, Total",-405.0,-549.0,-448.0,-406.0,-482.0,,Balance Sheet
Total Equity,4809.0,4482.0,3977.0,4736.0,5400.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,33111.0,43670.0,37180.0,38849.0,41888.0,,Balance Sheet
Ttl Comm. Shares Outs.,466.0,456.0,445.0,439.0,434.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,172.0,183.0,194.0,200.0,205.0,,Balance Sheet
Date,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,,Income Statement
Total Revenue,10939.0,11668.0,12372.0,13328.0,14175.0,,Income Statement
"Cost of Revenue, Total",6407.0,6823.0,7226.0,7787.0,8087.0,,Income Statement
Selling/Gen/Admin Expense,2401.0,2540.0,2585.0,2810.0,2957.0,,Income Statement
Labor & Related Expense,96.0,97.0,99.0,129.0,131.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",2497.0,2637.0,2684.0,2939.0,3088.0,,Income Statement
Research & Development,20.0,17.0,18.0,24.0,,,Income Statement
Restructuring Charge,,,90.0,21.0,-24.0,,Income Statement
Impair-Assets Held for Use,0.0,,,0.0,12.0,,Income Statement
Other Unusual Expnse (In),,-29.0,-205.0,,,,Income Statement
Unusual Expense (Income),0.0,-29.0,-115.0,21.0,-12.0,,Income Statement
Total Operating Expense,8925.0,9448.0,9813.0,10770.0,11163.0,,Income Statement
Total Operating Income,2014.0,2220.0,2559.0,2557.0,3012.0,,Income Statement
"Inter Expse,Net Non-Operat",-7.0,-56.0,-80.0,-103.0,-130.0,,Income Statement
"Inter Income, Non-Operating",57.0,62.0,77.0,84.0,98.0,,Income Statement
"Invest Income, Non-Operat",6.0,-5.0,2.0,-3.0,15.0,,Income Statement
"Inter/Invest Inc, Non-Oper",63.0,57.0,79.0,81.0,112.0,,Income Statement
Gain(Loss)on Sale of Assets,0.0,14.0,0.0,1.0,4.0,,Income Statement
"Other, Net",,,59.0,-254.0,7.0,,Income Statement
Income Before Tax,2071.0,2235.0,2617.0,2283.0,3006.0,,Income Statement
Income Tax - Total,694.0,741.0,829.0,215.0,712.0,,Income Statement
Income After Tax,1377.0,1493.0,1788.0,2068.0,2293.0,,Income Statement
Net Inc Before Extra Items,1377.0,1493.0,1788.0,2068.0,2293.0,,Income Statement
Discontinued Operations,172.0,-1.0,,,,,Income Statement
Extraordinary Item,,,,-183.0,-1.0,,Income Statement
Tax on Extraordinary Items,-96.0,1.0,,,,,Income Statement
Total Extraordinary Items,76.0,-1.0,,-183.0,-1.0,,Income Statement
Total Net Income,1453.0,1493.0,1788.0,1885.0,2293.0,,Income Statement
Income Available to Common Excl. Extra. Items,1377.0,1493.0,1788.0,2068.0,2293.0,,Income Statement
Income Available to Common Incl. Extra. Items,1453.0,1493.0,1788.0,1885.0,2293.0,,Income Statement
Basic/Primary Weighted Average Shares,473.0,457.0,448.0,441.0,435.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,2.91,3.27,3.99,4.69,5.27,,Income Statement
Basic/Primary EPS Incl. Extra. Items,3.07,3.27,3.99,4.28,5.27,,Income Statement
Diluted Weighted Average Shares,476.0,459.0,450.0,443.0,438.0,,Income Statement
Diluted EPS Excl. Extra. Items,2.89,3.25,3.97,4.67,5.24,,Income Statement
Diluted EPS Incl. Extra. Items,3.05,3.25,3.97,4.25,5.24,,Income Statement
Div/Share-ComStockPrimIssue,1.94,2.04,2.2,2.4,2.96,,Income Statement
Gross Divid - Common Stock,927.0,956.0,1009.0,1120.0,1339.0,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",7.0,56.0,80.0,103.0,130.0,,Income Statement
"Depreciat/Amort, Suppl",127.0,136.0,147.0,173.0,181.0,,Income Statement
Total Special Items,0.0,-43.0,-30.0,425.0,122.0,,Income Statement
Normalzd Income Before Tax,2071.0,2192.0,2587.0,2707.0,3128.0,,Income Statement
Efct/SpecItemsIncTxs (STEC),0.0,-14.0,-32.0,-122.0,-35.0,,Income Statement
IncTxsExcl ImpctofSpec Itms,694.0,727.0,797.0,92.0,678.0,,Income Statement
Normalized Income After Tax,1377.0,1465.0,1789.0,2615.0,2450.0,,Income Statement
Normalzd Inc Avail to Common,1377.0,1465.0,1789.0,2615.0,2450.0,,Income Statement
Basic Normalized EPS,2.91,3.2,4.0,5.93,5.63,,Income Statement
Diluted Normalized EPS,2.89,3.19,3.97,5.9,5.6,,Income Statement
Date,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,,Cash Flow
Net Income,1453.0,1493.0,1788.0,1885.0,2293.0,,Cash Flow
Depreciation/Depletion,278.0,289.0,316.0,378.0,409.0,,Cash Flow
Deferred Taxes,-15.0,1.0,41.0,-152.0,9.0,,Cash Flow
Discontinued Operations,-3.0,,,,,,Cash Flow
Unusual Items,148.0,-36.0,-121.0,-1.0,-8.0,,Cash Flow
Other Non-Cash Items,263.0,280.0,1074.0,1447.0,1191.0,,Cash Flow
Non-Cash Items,408.0,244.0,953.0,1446.0,1183.0,,Cash Flow
"Cash Taxes Pd, Supplemental",773.0,652.0,817.0,530.0,634.0,,Cash Flow
"Cash Interest Pd, Suppl",6.0,38.0,78.0,101.0,128.0,,Cash Flow
Accounts Receivable,-175.0,-225.0,23.0,-292.0,-474.0,,Cash Flow
Other Assets,-109.0,-109.0,-1139.0,-858.0,-987.0,,Cash Flow
Accounts Payable,13.0,-16.0,-12.0,-2.0,-11.0,,Cash Flow
Accrued Expenses,122.0,221.0,156.0,111.0,266.0,,Cash Flow
Changes in Working Capital,-149.0,-129.0,-972.0,-1042.0,-1206.0,,Cash Flow
Total Cash from Operations,1974.0,1897.0,2126.0,2515.0,2688.0,,Cash Flow
Purchase of Fixed Assets,-159.0,-169.0,-240.0,-206.0,-162.0,,Cash Flow
Purchase/Acq of Intangibles,-177.0,-218.0,-230.0,-265.0,-405.0,,Cash Flow
Capital Expenditures,-336.0,-386.0,-471.0,-471.0,-567.0,,Cash Flow
Acquisition of Business,-8.0,0.0,-87.0,-612.0,-126.0,,Cash Flow
Sale of Business,99.0,162.0,234.0,0.0,,,Cash Flow
Sale of Fixed Assets,24.0,16.0,0.0,0.0,8.0,,Cash Flow
Sale/Maturity of Investment,3841.0,5215.0,3594.0,3455.0,2909.0,,Cash Flow
Purchase of Investments,-5048.0,-5876.0,-4383.0,-4877.0,-4423.0,,Cash Flow
Other Investing Cash Flow,-2332.0,,,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",-3425.0,-483.0,-643.0,-2034.0,-1631.0,,Cash Flow
Total Cash from Investing,-3760.0,-869.0,-1113.0,-2505.0,-2198.0,,Cash Flow
Financing Cash Flow Items,6208.0,8855.0,-6025.0,404.0,2025.0,,Cash Flow
Total Cash Dividends Paid,-928.0,-944.0,-995.0,-1064.0,-1293.0,,Cash Flow
"Iss (Retirmnt) of Stock,Net",-1557.0,-1156.0,-1260.0,-989.0,-938.0,,Cash Flow
"Short Term Debt, Net",-2173.0,,,,,,Cash Flow
"Long Term Debt, Net",0.0,1998.0,,,,,Cash Flow
Total Debt Reduction,-2.0,-2.0,-2.0,-7.0,-2.0,,Cash Flow
"Iss (Retirmnt) of Debt, Net",-2175.0,1997.0,-2.0,-7.0,-2.0,,Cash Flow
Total Cash From Financing,1548.0,8753.0,-8282.0,-1656.0,-208.0,,Cash Flow
Foreign Exchange Effects,-106.0,-9.0,-8.0,6.0,-29.0,,Cash Flow
Net Change in Cash,-344.0,9772.0,-7277.0,-1640.0,254.0,,Cash Flow
NetCash-BeginBal/RsvdforFutUse,1984.0,5686.0,15459.0,8182.0,6542.0,,Cash Flow
NetCash-EndBal/RsrvforFutUse,1639.0,15459.0,8182.0,6542.0,6796.0,,Cash Flow
"Depreciation, Supplemental",278.0,289.0,316.0,378.0,409.0,,Cash Flow
Free Cash Flow,1638.0,1511.0,1655.0,2044.0,2121.0,,
FCF Growth,,-0.07753357753357748,0.0953011250827267,0.23504531722054378,0.03767123287671237,0.0,
