,ADS
% Above Low,1.3003
% Held by Institutions,0.9588
52-Wk Range,['20.51 - 159.41']
Annual Dividend $,0.84
Annual Dividend %,0.018500000000000003
Ask,47.35
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,2.6
Bid,47.0
Bid Size,400.0
Change Since Close,0.00| |(0.00%)
Closing Price,47.18
Day Change $,1.68
Day Change %,0.0369
Day High,47.5
Day Low,45.56
Dividend Pay Date,2020-06-18 00:00:00
"EPS (TTM, GAAP)",8.05
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.851
Last (size),100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,2.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.65
Prev Close,45.5
Short Interest,0.065
Today's Open,47.03
Volume,1225861.0
Volume 10-day Avg,2052150.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-1.086411149825784
Growth 1yr High Est,-0.384028484231943
Growth 1yr Consensus Est,-0.7352198170288635
Growth 2yr Low Est,-4.168205574912892
Growth 2yr High Est,0.1370526447543835
Growth 2yr Consensus Est,-2.015576465079254
Growth 5yr Low Est,-2.116495250038494
Growth 5yr High Est,0.09595382669219793
Growth 5yr Consensus Est,-1.010270711673148
Growth 5yr Actual/Est,0.01987017140533326
Growth 3yr Historic,-0.005596428063745246
Price/Earnings (TTM),5.6507
Price/Sales (TTM),0.38499
Price/Book (MRQ),1.99117
Price/Cash Flow (TTM),3.68362
5yr Low,20.51
5yr High,307.78
5yr Avg Return,-0.2303333333333333
EPS Growth 5yr,0.0586709
Revenue Growth 5yr,0.0102846
Dividend Growth 5yr,
Short Int Current Month,2990090.0
Short Int Prev Month,2868023.0
Short Int Pct of Float,0.0650236
Days to Cover,1.56955
Float,46.03426
Shares Outstanding,47.62796
Institutions Holding Shares,630.0
FCF Growth 5yr,0.0003999591308203376
"Price/Earnings (TTM, GAAP)",5.65
"PEG Ratio (TTM, GAAP)",1.01
Gross Profit Margin (TTM),0.5593
Operating Profit Margin (TTM),0.198
Net Profit Margin (TTM),0.07
Annual Dividend Yield,0.018500000000000003
Dividend Change %,0.10529999999999999
"Dividend Growth Rate, 3 Years",0.6923
EPS Growth (MRQ),-0.7001000000000001
EPS Growth (TTM),-0.5196000000000001
Revenue Growth (MRQ),-0.0542
Revenue Growth (TTM),0.0017000000000000001
Return On Equity (TTM),0.23120000000000002
Return On Assets (TTM),0.0147
Return On Investment (TTM),0.0244
Revenue Per Employee (TTM),662224.0
Total Debt/Total Capital (MRQ),0.9504000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),2.0
Interest Coverage (MRQ),1.14
newConstructs,1
researchTeam,hold
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,underperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2018-11-27 00:00:00
cfra since,2017-04-04 00:00:00
ford since,2019-04-26 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-10-18 00:00:00
