,ADS
% Above Low,1.3003
% Held by Institutions,0.9588
52-Wk Range,['20.51 - 159.41']
Annual Dividend $,0.84
Annual Dividend %,0.018500000000000003
Ask,47.35
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,2.6
Bid,47.0
Bid Size,400.0
Change Since Close,0.00| |(0.00%)
Closing Price,47.18
Day Change $,1.68
Day Change %,0.0369
Day High,47.5
Day Low,45.56
Dividend Pay Date,2020-06-18 00:00:00
"EPS (TTM, GAAP)",8.05
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.851
Last (size),100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,2.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.65
Prev Close,45.5
Shares Outstanding,47.6M
Short Interest,0.065
Today's Open,47.03
Volume,1225861.0
Volume 10-day Avg,2052150.0
Volume Past Day,(Light)
