,ADSK
Price/Earnings (TTM),191.6008
Price/Sales (TTM),12.31707
Price/Book (MRQ),
Price/Cash Flow (TTM),117.9923
5yr Low,41.6
5yr High,211.58
5yr Avg Return,0.23123333333333332
EPS Growth 5yr,0.23401
Revenue Growth 5yr,0.054418100000000004
Dividend Growth 5yr,
Short Int Current Month,3615808.0
Short Int Prev Month,3878576.0
Short Int Pct of Float,0.016666399999999998
Days to Cover,1.5396
Float,217.0231
Shares Outstanding,219.1836
Institutions Holding Shares,1081.0
% Held by Institutions,0.954421
FCF Growth 5yr,-1.515878176337664
