,AEE
Price/Earnings (TTM),20.79148
Price/Sales (TTM),2.90783
Price/Book (MRQ),2.12779
Price/Cash Flow (TTM),9.34489
5yr Low,37.26
5yr High,87.66
5yr Avg Return,0.10305000000000002
EPS Growth 5yr,0.0688682
Revenue Growth 5yr,-0.0047702
Dividend Growth 5yr,0.0358457
Short Int Current Month,12652855.0
Short Int Prev Month,12784781.0
Short Int Pct of Float,0.05158890000000001
Days to Cover,8.2609
Float,245.6797
Shares Outstanding,246.7372
Institutions Holding Shares,818.0
% Held by Institutions,0.725801
FCF Growth 5yr,1.0150118698505797
