,AEP
% Above Low,0.2261
% Held by Institutions,0.7340000000000001
52-Wk Range,['65.14 - 104.97']
Annual Dividend $,2.8
Annual Dividend %,0.0356
Ask,80.6
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,79.82
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,79.86
Day Change $,1.26
Day Change %,0.016
Day High,80.42
Day Low,79.0
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",3.72
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.355
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,39.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.11
Prev Close,78.6
Short Interest,0.0141
Today's Open,79.16
Volume,2409219.0
Volume 10-day Avg,3063360.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.021531100478468845
Growth 1yr High Est,0.030303030303030276
Growth 1yr Consensus Est,0.004385964912280715
Growth 2yr Low Est,0.038134205261988074
Growth 2yr High Est,0.04682572329631152
Growth 2yr Consensus Est,0.042479964279149796
Growth 5yr Low Est,0.05936218929479575
Growth 5yr High Est,0.06253418485131218
Growth 5yr Consensus Est,0.06094818707305397
Growth 5yr Actual/Est,0.05949923748377728
Growth 3yr Historic,0.03669682168409466
Price/Earnings (TTM),21.10883
Price/Sales (TTM),2.55393
Price/Book (MRQ),1.96765
Price/Cash Flow (TTM),8.83946
5yr Low,52.29
5yr High,104.97
5yr Avg Return,0.07285
EPS Growth 5yr,0.036339800000000005
Revenue Growth 5yr,-0.010184200000000001
Dividend Growth 5yr,0.0594846
Short Int Current Month,6983837.0
Short Int Prev Month,6225320.0
Short Int Pct of Float,0.0141166
Days to Cover,2.22962
Float,494.7698
Shares Outstanding,495.5831
Institutions Holding Shares,1452.0
FCF Growth 5yr,0.10386326827106027
"Price/Earnings (TTM, GAAP)",21.11
"PEG Ratio (TTM, GAAP)",3.55
Gross Profit Margin (TTM),0.418
Operating Profit Margin (TTM),0.16760000000000003
Net Profit Margin (TTM),0.1155
Annual Dividend Yield,0.0356
Dividend Change %,0.07110000000000001
"Dividend Growth Rate, 3 Years",0.0608
EPS Growth (MRQ),2.2225
EPS Growth (TTM),-0.0943
Revenue Growth (MRQ),0.0364
Revenue Growth (TTM),-0.0588
Return On Equity (TTM),0.0945
Return On Assets (TTM),0.023700000000000002
Return On Investment (TTM),0.0275
Revenue Per Employee (TTM),876155.0
Total Debt/Total Capital (MRQ),0.6165
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),0.35
Interest Coverage (MRQ),2.88
newConstructs,4
researchTeam,hold
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
theStreet since,2020-03-23 00:00:00
cfra since,2019-01-24 00:00:00
ford since,2019-12-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
