,AES
% Above Low,0.5869
% Held by Institutions,0.9536
52-Wk Range,['8.11 - 21.23']
Annual Dividend $,0.5732
Annual Dividend %,0.0473
Ask,12.99
Ask Size,1000.0
B/A Ratio,2.5
B/A Size,2500x1000
Beta,1.0
Bid,12.83
Bid Size,2500.0
Change Since Close,0.10| |(0.78%)
Closing Price,12.87
Day Change $,0.75
Day Change %,0.061900000000000004
Day High,12.95
Day Low,12.26
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",0.44
Ex-dividend,2020-04-30 00:00:00
Ex-dividend Date,04/30/20
Historical Volatility,0.521
Last (size),100.0
Last (time),6:30p ET 05/08/20
Last Trade,12.97
Market Cap,8.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",27.71
Prev Close,12.12
Shares Outstanding,664.8M
Short Interest,0.011000000000000001
Today's Open,12.41
Volume,7503201.0
Volume 10-day Avg,5280527.0
Volume Past Day,(Heavy Day)
