,AES,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",27.71,12.46,Valuation,2.223916532905297
Price/Sales (TTM),0.82,2.32,Valuation,0.35344827586206895
Price/Book (MRQ),3.17,2.38,Valuation,1.3319327731092436
"PEG Ratio (TTM, GAAP)",3.6,0.08,Valuation,45.0
Gross Profit Margin (TTM),0.2298,0.3809,Profitability,0.603307954843791
Operating Profit Margin (TTM),0.18739999999999998,0.20980000000000001,Profitability,0.8932316491897043
Net Profit Margin (TTM),0.0649,-0.0021,Profitability,-30.904761904761905
Annual Dividend Yield,0.04730000000000001,0.0401,Dividend,1.179551122194514
Dividend Change %,0.05,-0.0045000000000000005,Dividend,-11.11111111111111
"Dividend Growth Rate, 3 Years",0.0746,-0.005600000000000001,Dividend,-13.32142857142857
EPS Growth (MRQ),2.8434,-0.8406,Gowth rates,-3.382583868665239
EPS Growth (TTM),-0.40759999999999996,1.5367,Gowth rates,-0.26524370404112707
Revenue Growth (MRQ),-0.0383,-0.018500000000000003,Gowth rates,2.07027027027027
Revenue Growth (TTM),-0.0722,0.028300000000000002,Gowth rates,-2.5512367491166077
Return On Equity (TTM),0.1012,0.016,Effectiveness,6.325
Return On Assets (TTM),0.019,-0.0514,Effectiveness,-0.3696498054474708
Return On Investment (TTM),0.024900000000000002,0.0693,Effectiveness,0.35930735930735935
Revenue Per Employee (TTM),,2214501.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.7905,0.6132,Financial strength,1.2891389432485323
Change in Debt/Total Capital Quarter over Quarter,0.0001,-0.0002,Financial strength,-0.5
Quick Ratio (MRQ),0.97,0.56,Financial strength,1.732142857142857
Interest Coverage (MRQ),3.37,1.64,Financial strength,2.054878048780488
