,AIG
% Above Low,0.7206
% Held by Institutions,0.9388
52-Wk Range,['16.07 - 58.66']
Annual Dividend $,1.28
Annual Dividend %,0.050199999999999995
Ask,28.04
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.4
Bid,27.66
Bid Size,500.0
Change Since Close,0.16| |(0.58%)
Closing Price,27.65
Day Change $,2.13
Day Change %,0.08349999999999999
Day High,27.7
Day Low,25.81
Dividend Pay Date,2020-06-29 00:00:00
"EPS (TTM, GAAP)",4.92
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.618
Last (size),100.0
Last (time),6:30p ET 05/08/20
Last Trade,27.81
Market Cap,23.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.19
Prev Close,25.52
Shares Outstanding,861.3M
Short Interest,0.015600000000000001
Today's Open,26.28
Volume,9830701.0
Volume 10-day Avg,8474492.0
Volume Past Day,(Above Average)
