,AIZ
% Above Low,0.2954
% Held by Institutions,0.9539
52-Wk Range,['76.27 - 142.61']
Annual Dividend $,2.52
Annual Dividend %,0.0256
Ask,105.0
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.6
Bid,98.8
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,98.8
Day Change $,0.21
Day Change %,0.0021
Day High,101.42
Day Low,97.89
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",5.52
Ex-dividend,2020-02-21 00:00:00
Ex-dividend Date,02/21/20
Historical Volatility,0.44
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,5.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",17.87
Prev Close,98.59
Short Interest,0.0345
Today's Open,100.93
Volume,521929.0
Volume 10-day Avg,506390.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.003537735849056478
Growth 1yr High Est,0.0822857142857143
Growth 1yr Consensus Est,0.04291172506738539
Growth 2yr Low Est,0.07168661175531554
Growth 2yr High Est,0.12192427213757728
Growth 2yr Consensus Est,0.09680544194644641
Growth 5yr Low Est,0.24379606826134648
Growth 5yr High Est,0.2516915988113497
Growth 5yr Consensus Est,0.2477438335363481
Growth 5yr Actual/Est,0.2875034708383244
Growth 3yr Historic,0.2328560907988217
Price/Earnings (TTM),17.86773
Price/Sales (TTM),0.57716
Price/Book (MRQ),1.10057
Price/Cash Flow (TTM),19.64044
5yr Low,63.96
5yr High,142.61
5yr Avg Return,0.10318333333333334
EPS Growth 5yr,-0.0192954
Revenue Growth 5yr,-0.0056952
Dividend Growth 5yr,0.1804839
Short Int Current Month,2093538.0
Short Int Prev Month,2093800.0
Short Int Pct of Float,0.0344532
Days to Cover,5.52659
Float,59.19965
Shares Outstanding,59.82375
Institutions Holding Shares,591.0
FCF Growth 5yr,3.0743519854998937
"Price/Earnings (TTM, GAAP)",17.87
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0696
Net Profit Margin (TTM),0.0366
Annual Dividend Yield,0.0256
Dividend Change %,0.0658
"Dividend Growth Rate, 3 Years",0.0618
EPS Growth (MRQ),0.1869
EPS Growth (TTM),0.1908
Revenue Growth (MRQ),-0.016200000000000003
Revenue Growth (TTM),0.154
Return On Equity (TTM),0.0653
Return On Assets (TTM),0.0087
Return On Investment (TTM),
Revenue Per Employee (TTM),719655.0
Total Debt/Total Capital (MRQ),0.2907
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.06
newConstructs,2
researchTeam,reduce
cfra,4
theStreet,buy
ford,3
marketEdge opinion,avoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-09 00:00:00
cfra since,2019-05-07 00:00:00
theStreet since,2016-04-11 00:00:00
ford since,2020-02-14 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
