,AJG
% Above Low,0.3274
% Held by Institutions,0.8238
52-Wk Range,['65.09 - 109.46']
Annual Dividend $,1.8
Annual Dividend %,0.021099999999999997
Ask,95.0
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,0.7
Bid,76.62
Bid Size,700.0
Change Since Close,0.00| |(0.00%)
Closing Price,86.4
Day Change $,1.02
Day Change %,0.011899999999999999
Day High,86.49
Day Low,85.08
Dividend Pay Date,2020-06-19 00:00:00
"EPS (TTM, GAAP)",3.48
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.394
Last (size),1000.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,16.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",24.5
Prev Close,85.38
Short Interest,0.013500000000000002
Today's Open,86.36
Volume,1097888.0
Volume 10-day Avg,1604020.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.02528089887640439
Growth 1yr High Est,0.17166212534059944
Growth 1yr Consensus Est,0.09847151210850191
Growth 2yr Low Est,0.05921579190395565
Growth 2yr High Est,0.09513338825169504
Growth 2yr Consensus Est,0.07717459007782534
Growth 5yr Low Est,0.07950819505466972
Growth 5yr High Est,0.09827954639090114
Growth 5yr Consensus Est,0.08889387072278543
Growth 5yr Actual/Est,0.0814260672412474
Growth 3yr Historic,0.04708013640238706
Price/Earnings (TTM),24.49999
Price/Sales (TTM),2.28951
Price/Book (MRQ),3.21862
Price/Cash Flow (TTM),13.01853
5yr Low,35.96
5yr High,109.46
5yr Avg Return,0.1226
EPS Growth 5yr,0.12339610000000001
Revenue Growth 5yr,0.0923345
Dividend Growth 5yr,0.035196
Short Int Current Month,2495709.0
Short Int Prev Month,2612126.0
Short Int Pct of Float,0.013499
Days to Cover,1.77228
Float,187.8004
Shares Outstanding,189.621
Institutions Holding Shares,899.0
FCF Growth 5yr,0.1654370623481985
"Price/Earnings (TTM, GAAP)",24.5
"PEG Ratio (TTM, GAAP)",3.42
Gross Profit Margin (TTM),0.3357
Operating Profit Margin (TTM),0.122
Net Profit Margin (TTM),0.1
Annual Dividend Yield,0.0211
Dividend Change %,0.049400000000000006
"Dividend Growth Rate, 3 Years",0.0403
EPS Growth (MRQ),4.2512
EPS Growth (TTM),-0.0784
Revenue Growth (MRQ),0.08449999999999999
Revenue Growth (TTM),-0.0022
Return On Equity (TTM),0.135
Return On Assets (TTM),0.0358
Return On Investment (TTM),0.0678
Revenue Per Employee (TTM),212351.0
Total Debt/Total Capital (MRQ),0.4911
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),7.08
newConstructs,4
researchTeam,reduce
creditSuisse,outperform
cfra,3
theStreet,buy
ford,2
marketEdge opinion,avoid
marketEdge,0
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
creditSuisse since,2015-03-31 00:00:00
cfra since,2019-01-03 00:00:00
theStreet since,2009-05-21 00:00:00
ford since,2020-03-20 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
