,AJG
% Above Low,0.3274
% Held by Institutions,0.8238
52-Wk Range,['65.09 - 109.46']
Annual Dividend $,1.8
Annual Dividend %,0.021099999999999997
Ask,95.0
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,0.7
Bid,76.62
Bid Size,700.0
Change Since Close,0.00| |(0.00%)
Closing Price,86.4
Day Change $,1.02
Day Change %,0.011899999999999999
Day High,86.49
Day Low,85.08
Dividend Pay Date,2020-06-19 00:00:00
"EPS (TTM, GAAP)",3.48
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.394
Last (size),1000.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,16.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",24.5
Prev Close,85.38
Shares Outstanding,189.6M
Short Interest,0.013500000000000002
Today's Open,86.36
Volume,1097888.0
Volume 10-day Avg,1604020.0
Volume Past Day,(Light)
