,AJG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.5,11.9,Valuation,2.0588235294117645
Price/Sales (TTM),2.29,3.79,Valuation,0.604221635883905
Price/Book (MRQ),3.22,2.87,Valuation,1.1219512195121952
"PEG Ratio (TTM, GAAP)",3.42,0.14,Valuation,24.428571428571427
Gross Profit Margin (TTM),0.3357,0.0161,Profitability,20.850931677018632
Operating Profit Margin (TTM),0.122,0.10220000000000001,Profitability,1.1937377690802347
Net Profit Margin (TTM),0.1,0.069,Profitability,1.4492753623188406
Annual Dividend Yield,0.0211,0.026099999999999998,Dividend,0.8084291187739464
Dividend Change %,0.049400000000000006,0.0658,Dividend,0.750759878419453
"Dividend Growth Rate, 3 Years",0.0403,0.1061,Dividend,0.3798303487276155
EPS Growth (MRQ),4.2512,-0.1369,Gowth rates,-31.053323593864135
EPS Growth (TTM),-0.0784,0.8539,Gowth rates,-0.09181402974587188
Revenue Growth (MRQ),0.08449999999999999,0.1629,Gowth rates,0.5187231430325353
Revenue Growth (TTM),-0.0022,0.0974,Gowth rates,-0.022587268993839837
Return On Equity (TTM),0.135,0.1313,Effectiveness,1.0281797410510283
Return On Assets (TTM),0.0358,0.0302,Effectiveness,1.1854304635761588
Return On Investment (TTM),0.0678,0.0234,Effectiveness,2.8974358974358974
Revenue Per Employee (TTM),212351.0,1167261.0,Effectiveness,0.18192246635499687
Total Debt/Total Capital (MRQ),0.4911,0.2986,Financial strength,1.644675150703282
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0004,Financial strength,1.25
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),7.08,10.16,Financial strength,0.6968503937007874
