,ALB
Price/Earnings (TTM),12.52563
Price/Sales (TTM),1.81668
Price/Book (MRQ),1.63353
Price/Cash Flow (TTM),9.43237
5yr Low,41.37
5yr High,144.99
5yr Avg Return,0.05928333333333335
EPS Growth 5yr,0.1435699
Revenue Growth 5yr,0.0797663
Dividend Growth 5yr,0.1174569
Short Int Current Month,14710591.0
Short Int Prev Month,13664366.0
Short Int Pct of Float,0.1398033
Days to Cover,9.29782
Float,105.994
Shares Outstanding,106.3186
Institutions Holding Shares,793.0
% Held by Institutions,0.8943470000000001
FCF Growth 5yr,2.378058783321941
