,ALB
% Above Low,0.31420000000000003
% Held by Institutions,0.8943000000000001
52-Wk Range,['48.89 - 99.40']
Annual Dividend $,1.54
Annual Dividend %,0.0258
Ask,65.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.4
Bid,64.02
Bid Size,400.0
Change Since Close,0.00| |(0.00%)
Closing Price,64.25
Day Change $,4.51
Day Change %,0.0755
Day High,64.5
Day Low,60.2
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",4.77
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.552
Last (size),2.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,6.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",12.53
Prev Close,59.74
Shares Outstanding,106.3M
Short Interest,0.1398
Today's Open,60.63
Volume,1514473.0
Volume 10-day Avg,1473101.0
Volume Past Day,(Average)
