,ALL
% Below High,0.1996
% Held by Institutions,0.7759
52-Wk Range,['64.13 - 125.92']
Annual Dividend $,2.16
Annual Dividend %,0.021400000000000002
Ask,101.21
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,0.9
Bid,100.79
Bid Size,300.0
Change Since Close,0.00| |(0.00%)
Closing Price,100.79
Day Change $,-0.06
Day Change %,-0.0006
Day High,102.8
Day Low,100.64
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",11.92
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.399
Last (size),25100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,31.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.46
Prev Close,100.85
Short Interest,0.0111
Today's Open,102.6
Volume,2217672.0
Volume 10-day Avg,2131189.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.056394763343403875
Growth 1yr High Est,0.11060329067641694
Growth 1yr Consensus Est,0.08349902700991041
Growth 2yr Low Est,0.02152435974605843
Growth 2yr High Est,0.04089835315713852
Growth 2yr Consensus Est,0.031211356451598476
Growth 5yr Low Est,0.11369597839279706
Growth 5yr High Est,0.08228864296382891
Growth 5yr Consensus Est,0.09799231067831299
Growth 5yr Actual/Est,0.13434360193438966
Growth 3yr Historic,0.12378092584077105
Price/Earnings (TTM),8.46088
Price/Sales (TTM),0.72337
Price/Book (MRQ),1.43079
Price/Cash Flow (TTM),6.92429
5yr Low,54.12
5yr High,125.92
5yr Avg Return,0.10375
EPS Growth 5yr,0.1748633
Revenue Growth 5yr,0.0473866
Dividend Growth 5yr,0.11842689999999999
Short Int Current Month,3501615.0
Short Int Prev Month,3715917.0
Short Int Pct of Float,0.0111169
Days to Cover,1.5291
Float,312.8066
Shares Outstanding,314.1161
Institutions Holding Shares,1389.0
FCF Growth 5yr,0.07609845957418326
"Price/Earnings (TTM, GAAP)",8.46
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.11710000000000001
Net Profit Margin (TTM),0.09369999999999999
Annual Dividend Yield,0.021400000000000002
Dividend Change %,0.12
"Dividend Growth Rate, 3 Years",0.1496
EPS Growth (MRQ),-0.6953
EPS Growth (TTM),0.7965000000000001
Revenue Growth (MRQ),-0.122
Revenue Growth (TTM),0.0665
Return On Equity (TTM),0.17989999999999998
Return On Assets (TTM),0.0354
Return On Investment (TTM),
Revenue Per Employee (TTM),956597.0
Total Debt/Total Capital (MRQ),0.21530000000000002
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),29.1
newConstructs,1
researchTeam,reduce
cfra,4
theStreet,buy
creditSuisse,underperform
ford,2
marketEdge opinion,avoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-09 00:00:00
cfra since,2019-08-01 00:00:00
theStreet since,2020-04-22 00:00:00
creditSuisse since,2019-07-11 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
