,AMAT
% Below High,0.22510000000000002
% Held by Institutions,0.8326
52-Wk Range,['36.64 - 69.44']
Annual Dividend $,0.88
Annual Dividend %,0.0172
Ask,54.03
Ask Size,400.0
Ask close,53.85
B/A Ratio,0.25
B/A Size,100x400
Beta,1.4
Bid,53.81
Bid Size,100.0
Bid close,53.79
Change Since Close,0.22| |(0.41%)
Closing Price,53.81
Day Change $,2.56
Day Change %,0.05
Day High,53.89
Day Low,52.24
Dividend Pay Date,2020-06-11 00:00:00
"EPS (TTM, GAAP)",3.02
Ex-dividend,2020-05-20 00:00:00
Ex-dividend Date,05/20/20
Historical Volatility,0.59
Last (size),298.0
Last (time),4:15p ET 05/08/20
Last Trade,54.03
Market Cap,49.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.94
Prev Close,51.25
Shares Outstanding,918.3M
Short Interest,0.0195
Today's Open,52.41
Volume,8086132.0
Volume 10-day Avg,8938987.0
Volume Past Day,(Average)
