,AME
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.2936893203883495
Growth 1yr High Est,-0.031100478468899517
Growth 1yr Consensus Est,-0.1623948994286245
Growth 2yr Low Est,0.006076302005137868
Growth 2yr High Est,0.03630161261740206
Growth 2yr Consensus Est,0.021188957311269963
Growth 5yr Low Est,0.13610908784782488
Growth 5yr High Est,0.1533475532075756
Growth 5yr Consensus Est,0.14472832052770024
Growth 5yr Actual/Est,0.1344314045169154
Growth 3yr Historic,0.13352315736761816
