,AME
Price/Earnings (TTM),20.4358
Price/Sales (TTM),3.76773
Price/Book (MRQ),3.58881
Price/Cash Flow (TTM),16.19481
5yr Low,42.82
5yr High,102.31
5yr Avg Return,0.11276666666666665
EPS Growth 5yr,0.09682700000000001
Revenue Growth 5yr,0.051037
Dividend Growth 5yr,0.1115649
Short Int Current Month,2721152.0
Short Int Prev Month,2439850.0
Short Int Pct of Float,0.011979
Days to Cover,1.92028
Float,228.4048
Shares Outstanding,229.4321
Institutions Holding Shares,902.0
% Held by Institutions,0.8758069999999999
FCF Growth 5yr,0.1107468479541672
