,AMGN
Price/Earnings (TTM),18.27714
Price/Sales (TTM),5.7271
Price/Book (MRQ),14.46474
Price/Cash Flow (TTM),13.34783
5yr Low,130.09
5yr High,244.99
5yr Avg Return,0.07075000000000001
EPS Growth 5yr,0.1396299
Revenue Growth 5yr,0.0309149
Dividend Growth 5yr,0.1890706
Short Int Current Month,7604084.0
Short Int Prev Month,8285399.0
Short Int Pct of Float,0.0129685
Days to Cover,2.9808
Float,586.4585
Shares Outstanding,588.2474
Institutions Holding Shares,2598.0
% Held by Institutions,0.755308
FCF Growth 5yr,-0.008273603578562772
