,AMGN
% Below High,0.0415
% Held by Institutions,0.7553
52-Wk Range,['166.30 - 244.99']
Annual Dividend $,6.4
Annual Dividend %,0.0274
Ask,236.8
Ask Size,500.0
Ask close,235.43
B/A Ratio,0.2
B/A Size,100x500
Beta,1.0
Bid,235.0
Bid Size,100.0
Bid close,234.7
Change Since Close,0.48| |(0.20%)
Closing Price,234.82
Day Change $,1.49
Day Change %,0.0064
Day High,235.73
Day Low,231.6
Dividend Pay Date,2020-06-08 00:00:00
"EPS (TTM, GAAP)",12.77
Ex-dividend,2020-05-15 00:00:00
Ex-dividend Date,05/15/20
Historical Volatility,0.348
Last (size),10.0
Last (time),4:15p ET 05/08/20
Last Trade,235.3
Market Cap,138.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.28
Prev Close,233.33
Shares Outstanding,588.2M
Short Interest,0.013000000000000001
Today's Open,234.95
Volume,1534369.0
Volume 10-day Avg,2641143.0
Volume Past Day,(Light)
