,AMP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.51,17.31,Valuation,0.2605430387059503
Price/Sales (TTM),1.17,8.13,Valuation,0.1439114391143911
Price/Book (MRQ),2.25,80.34,Valuation,0.028005974607916356
"PEG Ratio (TTM, GAAP)",0.39,6.9,Valuation,0.05652173913043478
Gross Profit Margin (TTM),0.6281,0.46159999999999995,Profitability,1.3607019064124783
Operating Profit Margin (TTM),0.3385,0.29710000000000003,Profitability,1.1393470212049814
Net Profit Margin (TTM),0.27690000000000003,0.19899999999999998,Profitability,1.391457286432161
Annual Dividend Yield,0.0342,0.027999999999999997,Dividend,1.2214285714285715
Dividend Change %,0.0793,0.1463,Dividend,0.542036910457963
"Dividend Growth Rate, 3 Years",0.09269999999999999,0.1512,Dividend,0.613095238095238
EPS Growth (MRQ),3.5106,-0.2898,Gowth rates,-12.113871635610767
EPS Growth (TTM),1.062,0.025099999999999997,Gowth rates,42.31075697211156
Revenue Growth (MRQ),-0.025099999999999997,-0.1888,Gowth rates,0.13294491525423727
Revenue Growth (TTM),-0.0101,0.0144,Gowth rates,-0.7013888888888888
Return On Equity (TTM),0.5638000000000001,4.7117,Effectiveness,0.11965957085552986
Return On Assets (TTM),0.0244,0.0579,Effectiveness,0.4214162348877375
Return On Investment (TTM),0.027400000000000004,0.11359999999999999,Effectiveness,0.2411971830985916
Revenue Per Employee (TTM),1021040.0,838425.0,Effectiveness,1.2178071980200973
Total Debt/Total Capital (MRQ),0.7576999999999999,0.42210000000000003,Financial strength,1.7950722577588247
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,0.0005,Financial strength,1.4000000000000001
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),13.43,12.55,Financial strength,1.0701195219123505
