,AMT
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.45390070921985815
Growth 1yr High Est,0.41693811074918563
Growth 1yr Consensus Est,0.4354194099845219
Growth 2yr Low Est,0.26841376924407556
Growth 2yr High Est,0.3176644576734434
Growth 2yr Consensus Est,0.2930391134587595
Growth 5yr Low Est,0.1789425128293837
Growth 5yr High Est,0.21177630511562895
Growth 5yr Consensus Est,0.19535940897250634
Growth 5yr Actual/Est,0.17976498275922959
Growth 3yr Historic,0.14203477602455417
