,AMZN
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,46.0
Growth 1yr Low Est,-0.41418516513264747
Growth 1yr High Est,0.003284671532846728
Growth 1yr Consensus Est,-0.20545024679990037
Growth 2yr Low Est,0.11776878527101459
Growth 2yr High Est,0.5531155987711524
Growth 2yr Consensus Est,0.3354421920210835
Growth 5yr Low Est,0.07851252351400972
Growth 5yr High Est,0.3687437325141016
Growth 5yr Consensus Est,0.22362812801405565
Growth 5yr Actual/Est,1.0916767753257954
Growth 3yr Historic,0.8897922873220789
