,ANET,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.27,21.35,Valuation,0.9962529274004683
Price/Sales (TTM),6.81,3.65,Valuation,1.8657534246575342
Price/Book (MRQ),5.59,4.09,Valuation,1.3667481662591687
"PEG Ratio (TTM, GAAP)",2.69,125.77,Valuation,0.021388248389918103
Gross Profit Margin (TTM),0.6424,0.5957,Profitability,1.078395165351687
Operating Profit Margin (TTM),0.32549999999999996,0.2093,Profitability,1.555183946488294
Net Profit Margin (TTM),0.341,0.17010000000000003,Profitability,2.0047031158142268
Annual Dividend Yield,,0.0248,Dividend,
Dividend Change %,,0.126,Dividend,
"Dividend Growth Rate, 3 Years",,0.10740000000000001,Dividend,
EPS Growth (MRQ),-0.467,-0.5058,Gowth rates,0.9232898378805852
EPS Growth (TTM),1.128,0.0017000000000000001,Gowth rates,663.5294117647057
Revenue Growth (MRQ),-0.0534,-0.005,Gowth rates,10.68
Revenue Growth (TTM),0.0281,0.044000000000000004,Gowth rates,0.6386363636363636
Return On Equity (TTM),0.3037,0.2175,Effectiveness,1.39632183908046
Return On Assets (TTM),0.21420000000000003,0.1192,Effectiveness,1.7969798657718123
Return On Investment (TTM),0.252,0.1602,Effectiveness,1.5730337078651684
Revenue Per Employee (TTM),1016657.0,662431.0,Effectiveness,1.534736448022511
Total Debt/Total Capital (MRQ),0.0,0.41700000000000004,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.001,Financial strength,
Quick Ratio (MRQ),5.34,2.04,Financial strength,2.6176470588235294
Interest Coverage (MRQ),,1.9,Financial strength,
