,ANTM
Price/Earnings (TTM),14.38285
Price/Sales (TTM),0.61316
Price/Book (MRQ),2.11306
Price/Cash Flow (TTM),10.9041
5yr Low,114.85
5yr High,317.99
5yr Avg Return,0.12078333333333333
EPS Growth 5yr,0.15577
Revenue Growth 5yr,0.0711925
Dividend Growth 5yr,0.1282943
Short Int Current Month,3318559.0
Short Int Prev Month,3735533.0
Short Int Pct of Float,0.0132265
Days to Cover,1.70044
Float,250.9614
Shares Outstanding,252.1161
Institutions Holding Shares,1473.0
% Held by Institutions,0.929777
FCF Growth 5yr,0.14436195365813972
