,2015,2016,2017,2018,2019,2020,Report
high,173.59,148.26,236.39,300.57,317.99,309.1,
low,126.25,114.85,140.5,215.52,227.16,171.03,
change,-0.11880000000000002,0.0444,0.5567000000000001,0.1672,0.1688,-0.0936,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,2114.0,4075.0,3609.0,3934.0,4937.0,,Balance Sheet
Buildings,217.0,215.0,168.0,169.0,169.0,,Balance Sheet
Land/Improvements,451.0,484.0,512.0,581.0,732.0,,Balance Sheet
Machinery/Equipment,3391.0,3441.0,3693.0,4798.0,5578.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,,575.0,,Balance Sheet
Prop./Plant/Equip. - Gross,4058.0,4140.0,4373.0,5548.0,7054.0,,Balance Sheet
Accumulated Depreciation,-2039.0,-2162.0,-2198.0,-2813.0,-3346.0,,Balance Sheet
Prop./Plant/Equip. - Net,2020.0,1978.0,2175.0,2735.0,3708.0,,Balance Sheet
"Goodwill, Net",17562.0,17561.0,19231.0,20504.0,20500.0,,Balance Sheet
Intangibles - Gross,10926.0,10841.0,11387.0,12365.0,12370.0,,Balance Sheet
Accum. Intangible Amort.,-2768.0,-2876.0,-3018.0,-3358.0,-3696.0,,Balance Sheet
Intangibles - Net,8158.0,7965.0,8368.0,9007.0,8674.0,,Balance Sheet
Long Term Investments,21011.0,21444.0,24931.0,22452.0,25461.0,,Balance Sheet
Insurance Receivables,4603.0,5861.0,6185.0,6743.0,7584.0,,Balance Sheet
Note Rcvble - Long Term,2738.0,2705.0,2608.0,2568.0,2969.0,,Balance Sheet
Restricted Cash - LT,1300.0,1080.0,455.0,604.0,353.0,,Balance Sheet
Accrued Investment Income,171.0,165.0,163.0,162.0,173.0,,Balance Sheet
Other Assets,2041.0,2250.0,2815.0,2862.0,3094.0,,Balance Sheet
"Other Assets, Total",2212.0,2414.0,2977.0,3024.0,3267.0,,Balance Sheet
Total Assets,61718.0,65083.0,70540.0,71571.0,77453.0,,Balance Sheet
Accounts Payable,3319.0,4015.0,5024.0,4959.0,4198.0,,Balance Sheet
Accrued Expenses,,,,,640.0,,Balance Sheet
Policy Liabilities,11675.0,11824.0,12519.0,11727.0,13668.0,,Balance Sheet
Unearned Prem. Or Rev.,1146.0,972.0,860.0,902.0,1017.0,,Balance Sheet
Other Policyholders’ Funds,704.0,738.0,717.0,781.0,759.0,,Balance Sheet
Notes Payable/ST Debt,540.0,440.0,1275.0,1145.0,700.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,0.0,928.0,1275.0,849.0,1598.0,,Balance Sheet
"Other Curr. Lblts, Total",1374.0,1172.0,567.0,801.0,435.0,,Balance Sheet
Total Long Term Debt,15325.0,14359.0,17382.0,17217.0,17787.0,,Balance Sheet
Total Debt,15865.0,15727.0,19932.0,19211.0,20085.0,,Balance Sheet
Deferred Income Tax,2631.0,2780.0,1727.0,1960.0,2227.0,,Balance Sheet
"Other Liabilities, Total",3810.0,4465.0,4268.0,4372.0,4472.0,,Balance Sheet
Total Liabilities,38674.0,39983.0,44037.0,43030.0,45725.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,0.0,0.0,0.0,0.0,,Balance Sheet
Common Stock,3.0,3.0,3.0,3.0,3.0,,Balance Sheet
Additional Paid-In Capital,8556.0,8805.0,8547.0,9536.0,9448.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),14779.0,16561.0,18054.0,19988.0,22573.0,,Balance Sheet
Unrealized Gain (Loss),152.0,188.0,534.0,-161.0,519.0,,Balance Sheet
Cum. Trans. Adjustment,-6.0,-4.0,-1.0,-2.0,-2.0,,Balance Sheet
