,AON
% Above Low,0.3184
% Held by Institutions,0.9225
52-Wk Range,['143.93 - 238.19']
Annual Dividend $,1.76
Annual Dividend %,0.0095
Ask,240.28
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,183.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,189.76
Day Change $,4.93
Day Change %,0.026699999999999998
Day High,189.77
Day Low,185.19
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",6.95
Ex-dividend,2020-04-30 00:00:00
Ex-dividend Date,04/30/20
Historical Volatility,0.376
Last (size),3.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,43.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",26.59
Prev Close,184.83
Shares Outstanding,231.1M
Short Interest,0.0391
Today's Open,186.17
Volume,856961.0
Volume 10-day Avg,1575344.0
Volume Past Day,(Light)
