,AOS
% Below High,0.14859999999999998
% Held by Institutions,1.0110999999999999
52-Wk Range,['33.81 - 52.61']
Annual Dividend $,0.96
Annual Dividend %,0.0222
Ask,46.5
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.2
Bid,42.73
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,44.79
Day Change $,1.48
Day Change %,0.0342
Day High,44.99
Day Low,43.87
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",2.01
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.34700000000000003
Last (size),1300.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,7.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.57
Prev Close,43.31
Short Interest,0.0737
Today's Open,43.91
Volume,1156876.0
Volume 10-day Avg,1552828.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.3080357142857143
Growth 1yr High Est,-0.10964912280701755
Growth 1yr Consensus Est,-0.20884241854636593
Growth 2yr Low Est,-0.008856566820276524
Growth 2yr High Est,0.036308443522599654
Growth 2yr Consensus Est,0.013725938351161565
Growth 5yr Low Est,0.018750988298545213
Growth 5yr High Est,0.0397105723874179
Growth 5yr Consensus Est,0.029230780342981558
Growth 5yr Actual/Est,0.02537282236948532
Growth 3yr Historic,0.013334922400550897
Price/Earnings (TTM),21.56507
Price/Sales (TTM),2.42208
Price/Book (MRQ),4.59985
Price/Cash Flow (TTM),16.99705
5yr Low,25.05
5yr High,68.39
5yr Avg Return,0.07050000000000001
EPS Growth 5yr,0.1421427
Revenue Growth 5yr,0.049005099999999996
Dividend Growth 5yr,0.2457309
Short Int Current Month,9929690.0
Short Int Prev Month,9593685.0
Short Int Pct of Float,0.07370840000000001
Days to Cover,5.38607
Float,133.784
Shares Outstanding,161.1404
Institutions Holding Shares,651.0
FCF Growth 5yr,0.11831926651489369
"Price/Earnings (TTM, GAAP)",21.57
"PEG Ratio (TTM, GAAP)",2.7
Gross Profit Margin (TTM),0.39130000000000004
Operating Profit Margin (TTM),0.1486
Net Profit Margin (TTM),0.11539999999999999
Annual Dividend Yield,0.0222
Dividend Change %,0.18420000000000003
"Dividend Growth Rate, 3 Years",0.2331
EPS Growth (MRQ),-0.4294
EPS Growth (TTM),-0.209
Revenue Growth (MRQ),-0.1518
Revenue Growth (TTM),-0.08470000000000001
Return On Equity (TTM),0.1975
Return On Assets (TTM),0.1085
Return On Investment (TTM),0.1417
Revenue Per Employee (TTM),190821.0
Total Debt/Total Capital (MRQ),0.1748
Change in Debt/Total Capital Quarter over Quarter,0.0027
Quick Ratio (MRQ),1.62
Interest Coverage (MRQ),31.77
newConstructs,2
researchTeam,reduce
cfra,1
theStreet,hold
ford,4
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-01-29 00:00:00
cfra since,2019-05-01 00:00:00
theStreet since,2020-02-10 00:00:00
ford since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
