,APA
% Above Low,2.2763
% Held by Institutions,0.9865999999999999
52-Wk Range,['3.80 - 33.77']
Annual Dividend $,0.1
Annual Dividend %,0.0084
Ask,12.4
Ask Size,3800.0
B/A Ratio,0.5263157894736842
B/A Size,2000x3800
Beta,4.8
Bid,12.36
Bid Size,2000.0
Change Since Close,-0.05| |(-0.40%)
Closing Price,12.45
Day Change $,0.57
Day Change %,0.048
Day High,12.54
Day Low,12.05
Dividend Pay Date,2020-05-22 00:00:00
"EPS (TTM, GAAP)",-21.15
Ex-dividend,2020-04-21 00:00:00
Ex-dividend Date,04/21/20
Historical Volatility,1.243
Last (size),70.0
Last (time),6:30p ET 05/08/20
Last Trade,12.4
Market Cap,4.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,11.88
Shares Outstanding,377.4M
Short Interest,0.1315
Today's Open,12.25
Volume,19464136.0
Volume 10-day Avg,26243529.0
Volume Past Day,(Light)
