,APD
% Below High,0.0916
% Held by Institutions,0.8064
52-Wk Range,['167.43 - 257.01']
Annual Dividend $,5.36
Annual Dividend %,0.0236
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,215.0
Bid Size,
Change Since Close,0.00| |(0.00%)
Closing Price,233.48
Day Change $,6.68
Day Change %,0.029500000000000002
Day High,233.56
Day Low,229.19
Dividend Pay Date,2020-05-11 00:00:00
"EPS (TTM, GAAP)",8.83
Ex-dividend,2020-03-31 00:00:00
Ex-dividend Date,03/31/20
Historical Volatility,0.406
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,51.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",25.68
Prev Close,226.8
Short Interest,0.0105
Today's Open,231.08
Volume,808657.0
Volume 10-day Avg,1106214.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.025925925925925908
Growth 1yr High Est,0.09036144578313254
Growth 1yr Consensus Est,0.03221775992860332
Growth 2yr Low Est,0.07195465427404601
Growth 2yr High Est,0.12252878918990873
Growth 2yr Consensus Est,0.09724172173197737
Growth 5yr Low Est,0.10713883815560826
Growth 5yr High Est,0.13793106126162102
Growth 5yr Consensus Est,0.12253494970861464
Growth 5yr Actual/Est,0.11956607533864222
Growth 3yr Historic,0.07066975824035576
Price/Earnings (TTM),25.67839
Price/Sales (TTM),5.57905
Price/Book (MRQ),4.4047
Price/Cash Flow (TTM),15.83968
5yr Low,114.64
5yr High,257.01
5yr Avg Return,0.10061666666666666
EPS Growth 5yr,0.1127065
Revenue Growth 5yr,-0.030985
Dividend Growth 5yr,0.08835190000000001
Short Int Current Month,2310263.0
Short Int Prev Month,2516593.0
Short Int Pct of Float,0.0105176
Days to Cover,1.58694
Float,219.8339
Shares Outstanding,220.8546
Institutions Holding Shares,1545.0
FCF Growth 5yr,0.10061135519733658
"Price/Earnings (TTM, GAAP)",25.68
"PEG Ratio (TTM, GAAP)",2.67
Gross Profit Margin (TTM),0.3425
Operating Profit Margin (TTM),0.25739999999999996
Net Profit Margin (TTM),0.2245
Annual Dividend Yield,0.0236
Dividend Change %,0.1024
"Dividend Growth Rate, 3 Years",0.1061
EPS Growth (MRQ),0.0342
EPS Growth (TTM),0.1714
Revenue Growth (MRQ),-0.017
Revenue Growth (TTM),0.001
Return On Equity (TTM),0.1741
Return On Assets (TTM),0.10400000000000001
Return On Investment (TTM),0.11800000000000001
Revenue Per Employee (TTM),514805.0
Total Debt/Total Capital (MRQ),0.22030000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),2.37
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,5
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2010-04-23 00:00:00
cfra since,2020-04-24 00:00:00
ford since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2014-10-16 00:00:00
