,APD
Price/Earnings (TTM),25.67839
Price/Sales (TTM),5.57905
Price/Book (MRQ),4.4047
Price/Cash Flow (TTM),15.83968
5yr Low,114.64
5yr High,257.01
5yr Avg Return,0.10061666666666666
EPS Growth 5yr,0.1127065
Revenue Growth 5yr,-0.030985
Dividend Growth 5yr,0.08835190000000001
Short Int Current Month,2310263.0
Short Int Prev Month,2516593.0
Short Int Pct of Float,0.0105176
Days to Cover,1.58694
Float,219.8339
Shares Outstanding,220.8546
Institutions Holding Shares,1545.0
% Held by Institutions,0.806441
FCF Growth 5yr,0.10061135519733658
