,APD
% Below High,0.0916
% Held by Institutions,0.8064
52-Wk Range,['167.43 - 257.01']
Annual Dividend $,5.36
Annual Dividend %,0.0236
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,215.0
Bid Size,
Change Since Close,0.00| |(0.00%)
Closing Price,233.48
Day Change $,6.68
Day Change %,0.029500000000000002
Day High,233.56
Day Low,229.19
Dividend Pay Date,2020-05-11 00:00:00
"EPS (TTM, GAAP)",8.83
Ex-dividend,2020-03-31 00:00:00
Ex-dividend Date,03/31/20
Historical Volatility,0.406
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,51.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",25.68
Prev Close,226.8
Shares Outstanding,220.9M
Short Interest,0.0105
Today's Open,231.08
Volume,808657.0
Volume 10-day Avg,1106214.0
Volume Past Day,(Light)
