,APH
Price/Earnings (TTM),23.74776
Price/Sales (TTM),3.17503
Price/Book (MRQ),5.88589
Price/Cash Flow (TTM),17.97572
5yr Low,44.5
5yr High,110.24
5yr Avg Return,0.10641666666666666
EPS Growth 5yr,0.11132170000000001
Revenue Growth 5yr,0.0900182
Dividend Growth 5yr,0.1636215
Short Int Current Month,3306427.0
Short Int Prev Month,3068389.0
Short Int Pct of Float,0.0112354
Days to Cover,1.40593
Float,294.2401
Shares Outstanding,295.8452
Institutions Holding Shares,959.0
% Held by Institutions,0.9727410000000001
FCF Growth 5yr,0.0891993004710639
