,APH
% Below High,0.18760000000000002
% Held by Institutions,0.9727
52-Wk Range,['63.05 - 110.24']
Annual Dividend $,1.0
Annual Dividend %,0.0115
Ask,105.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,60.1
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,89.56
Day Change $,2.32
Day Change %,0.026600000000000002
Day High,89.57
Day Low,88.43
Dividend Pay Date,2020-07-08 00:00:00
"EPS (TTM, GAAP)",3.67
Ex-dividend,2020-06-15 00:00:00
Ex-dividend Date,06/15/20
Historical Volatility,0.38799999999999996
Last (size),200.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,26.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",23.75
Prev Close,87.24
Shares Outstanding,295.9M
Short Interest,0.011200000000000002
Today's Open,88.78
Volume,1073740.0
Volume 10-day Avg,1425100.0
Volume Past Day,(Light)
