,APTV
% Below High,0.3119
% Held by Institutions,0.9804999999999999
52-Wk Range,['29.22 - 99.04']
Annual Dividend $,
Annual Dividend %,
Ask,79.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.3
Bid,67.26
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,68.15
Day Change $,2.92
Day Change %,0.044800000000000006
Day High,68.68
Day Low,66.44
Dividend Pay Date,02/19/20
"EPS (TTM, GAAP)",9.06
Ex-dividend Date,02/04/20
Historical Volatility,0.703
Last (size),3.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,17.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.2
Prev Close,65.23
Shares Outstanding,254.9M
Short Interest,0.0199
Today's Open,67.13
Volume,1114237.0
Volume 10-day Avg,1711037.0
Volume Past Day,(Light)
