,AVB
% Above Low,0.3875
% Held by Institutions,0.95
52-Wk Range,['118.17 - 229.40']
Annual Dividend $,6.36
Annual Dividend %,0.039599999999999996
Ask,177.0
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,0.9
Bid,154.87
Bid Size,400.0
Change Since Close,0.00| |(0.00%)
Closing Price,163.96
Day Change $,3.52
Day Change %,0.0219
Day High,164.29
Day Low,160.87
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",5.61
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.44200000000000006
Last (size),23100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,23.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",28.61
Prev Close,160.44
Short Interest,0.013600000000000001
Today's Open,163.41
Volume,1371744.0
Volume 10-day Avg,1046248.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.1987041036717062
Growth 1yr High Est,-0.08756567425569173
Growth 1yr Consensus Est,-0.14313488896369897
Growth 2yr Low Est,-0.0104032647738585
Growth 2yr High Est,-0.020750207569304624
Growth 2yr Consensus Est,-0.015576736171581562
Growth 5yr Low Est,-0.0104032647738585
Growth 5yr High Est,-0.020750207569304624
Growth 5yr Consensus Est,-0.015576736171581562
Growth 5yr Actual/Est,-0.045999556256532265
Growth 3yr Historic,-0.02279555481096776
Price/Earnings (TTM),28.61005
Price/Sales (TTM),9.71316
Price/Book (MRQ),2.05331
Price/Cash Flow (TTM),15.59698
5yr Low,118.17
5yr High,229.4
5yr Avg Return,0.006549999999999999
EPS Growth 5yr,0.027416299999999998
Revenue Growth 5yr,0.0664672
Dividend Growth 5yr,0.057940399999999996
Short Int Current Month,1902087.0
Short Int Prev Month,1860187.0
Short Int Pct of Float,0.0135622
Days to Cover,1.60482
Float,140.3473
Shares Outstanding,140.7347
Institutions Holding Shares,875.0
FCF Growth 5yr,-0.7439168874997216
"Price/Earnings (TTM, GAAP)",28.61
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6696
Operating Profit Margin (TTM),0.27
Net Profit Margin (TTM),0.3382
Annual Dividend Yield,0.0396
Dividend Change %,0.034300000000000004
"Dividend Growth Rate, 3 Years",0.044000000000000004
EPS Growth (MRQ),-0.401
EPS Growth (TTM),-0.20149999999999998
Revenue Growth (MRQ),0.0101
Revenue Growth (TTM),0.0175
Return On Equity (TTM),0.0725
Return On Assets (TTM),0.04190000000000001
Return On Investment (TTM),0.0437
Revenue Per Employee (TTM),744595.0
Total Debt/Total Capital (MRQ),0.3996
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.68
newConstructs,3
researchTeam,reduce
cfra,2
theStreet,hold
ford,3
marketEdge opinion,avoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-07 00:00:00
cfra since,2020-04-28 00:00:00
theStreet since,2020-03-20 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
