,AVGO
Next Earnings Announcement,2020-06-04 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,-0.029551954242135414
Growth 1yr High Est,0.04807692307692313
Growth 1yr Consensus Est,0.009262484417393857
Growth 2yr Low Est,0.006343865708008933
Growth 2yr High Est,0.07537092112780186
Growth 2yr Consensus Est,0.0408573934179054
Growth 5yr Low Est,0.08020758822686797
Growth 5yr High Est,0.12391610488333488
Growth 5yr Consensus Est,0.10206184655510142
Growth 5yr Actual/Est,0.10923301027559901
Growth 3yr Historic,0.08075291859494632
