,AWK
Price/Earnings (TTM),34.10354
Price/Sales (TTM),5.92041
Price/Book (MRQ),3.45283
Price/Cash Flow (TTM),17.74174
5yr Low,48.36
5yr High,141.7
5yr Avg Return,0.15308333333333332
EPS Growth 5yr,0.0749659
Revenue Growth 5yr,0.0369309
Dividend Growth 5yr,0.09533010000000001
Short Int Current Month,2231986.0
Short Int Prev Month,2627718.0
Short Int Pct of Float,0.012388099999999999
Days to Cover,2.2837
Float,180.2202
Shares Outstanding,181.0229
Institutions Holding Shares,1146.0
% Held by Institutions,0.852282
FCF Growth 5yr,-3.5636092503987244
