,AXP
% Above Low,0.3358
% Held by Institutions,0.851
52-Wk Range,['67.00 - 138.13']
Annual Dividend $,1.72
Annual Dividend %,0.019799999999999998
Ask,89.95
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,89.54
Bid Size,300.0
Change Since Close,0.30| |(0.34%)
Closing Price,89.5
Day Change $,2.77
Day Change %,0.0319
Day High,89.66
Day Low,87.55
Dividend Pay Date,2020-08-10 00:00:00
"EPS (TTM, GAAP)",6.6
Ex-dividend,2020-07-01 00:00:00
Ex-dividend Date,07/01/20
Historical Volatility,0.534
Last (size),2.0
Last (time),6:30p ET 05/08/20
Last Trade,89.8
Market Cap,72.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.14
Prev Close,86.73
Shares Outstanding,805.0M
Short Interest,0.013500000000000002
Today's Open,88.5
Volume,3917097.0
Volume 10-day Avg,6104372.0
Volume Past Day,(Light)
