,AZO
Price/Earnings (TTM),15.45238
Price/Sales (TTM),1.95696
Price/Book (MRQ),
Price/Cash Flow (TTM),11.78905
5yr Low,491.13
5yr High,1274.41
5yr Avg Return,0.08938333333333334
EPS Growth 5yr,0.1484618
Revenue Growth 5yr,0.045985399999999996
Dividend Growth 5yr,
Short Int Current Month,528530.0
Short Int Prev Month,466657.0
Short Int Pct of Float,0.0225239
Days to Cover,1.60455
Float,23.23358
Shares Outstanding,23.35243
Institutions Holding Shares,1040.0
% Held by Institutions,0.9486060000000001
FCF Growth 5yr,0.10521822940455368
