,2015,2016,2017,2018,2019,2020,Report
high,150.59,160.07,299.33,394.28,446.01,349.95,
low,115.14,102.1,155.21,292.47,309.4,89.0,
change,-0.006600000000000001,0.1011,0.8868,0.0904,0.030299999999999997,-0.5939,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,11302.0,8801.0,8813.0,7637.0,9485.0,,Balance Sheet
Short Term Investments,750.0,1228.0,1179.0,927.0,545.0,,Balance Sheet
Cash and Short Term Invs,12052.0,10029.0,9992.0,8564.0,10030.0,,Balance Sheet
"Trade Accts Recvble, Gross",8553.0,8330.0,2956.0,3936.0,3339.0,,Balance Sheet
Prov. for Doubtful Accts,-94.0,-65.0,-62.0,-57.0,-73.0,,Balance Sheet
"Trade Accts Recvble, Net",8459.0,8265.0,11088.0,13904.0,12309.0,,Balance Sheet
Notes Recvble - Short Term,212.0,428.0,309.0,460.0,162.0,,Balance Sheet
Other Receivables,254.0,567.0,,,,,Balance Sheet
"Total Receivables, Net",8925.0,9260.0,11397.0,14364.0,12471.0,,Balance Sheet
Invent. - Work In Progress,-14646.0,-14295.0,1854.0,2129.0,1187.0,,Balance Sheet
Invent. - Raw Materials,6673.0,5446.0,6673.0,7685.0,9419.0,,Balance Sheet
Inventories - Other,55230.0,52048.0,52861.0,52753.0,66016.0,,Balance Sheet
Total Inventory,47257.0,43199.0,61388.0,62567.0,76622.0,,Balance Sheet
"Other Curr. Assets, Total",,,2417.0,2335.0,3106.0,,Balance Sheet
Total Current Assets,68234.0,62488.0,85194.0,87830.0,102229.0,,Balance Sheet
Buildings,12397.0,13796.0,14125.0,14109.0,14288.0,,Balance Sheet
Land/Improvements,536.0,535.0,530.0,546.0,527.0,,Balance Sheet
Machinery/Equipment,13187.0,13569.0,14577.0,15221.0,15723.0,,Balance Sheet
Construction in Progress,2242.0,1790.0,1081.0,1337.0,1306.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,,1182.0,,Balance Sheet
Prop./Plant/Equip. - Gross,28362.0,29690.0,30313.0,31213.0,33026.0,,Balance Sheet
Accumulated Depreciation,-16286.0,-16883.0,-17641.0,-18568.0,-19342.0,,Balance Sheet
Prop./Plant/Equip. - Net,12076.0,12807.0,12672.0,12645.0,13684.0,,Balance Sheet
"Goodwill, Net",5126.0,5324.0,5559.0,7840.0,8060.0,,Balance Sheet
Intangibles - Gross,4491.0,4586.0,4876.0,6002.0,6238.0,,Balance Sheet
Accum. Intangible Amort.,-1834.0,-2046.0,-2303.0,-2573.0,-2900.0,,Balance Sheet
Intangibles - Net,2657.0,2540.0,2573.0,3429.0,3338.0,,Balance Sheet
LT Invt. - Affiliate Comp.,1230.0,1242.0,1214.0,1048.0,1031.0,,Balance Sheet
LT Investments - Other,54.0,75.0,46.0,39.0,61.0,,Balance Sheet
Long Term Investments,1284.0,1317.0,1260.0,1087.0,1092.0,,Balance Sheet
Note Rcvble - Long Term,3714.0,4129.0,3112.0,2662.0,2380.0,,Balance Sheet
Other Long Term Assets,1052.0,1060.0,1671.0,1582.0,2159.0,,Balance Sheet
Total Assets,94408.0,89997.0,112362.0,117359.0,133625.0,,Balance Sheet
Accounts Payable,10800.0,11190.0,12202.0,12916.0,15553.0,,Balance Sheet
