,BBY
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.41391304347826086
Growth 1yr High Est,-0.10032894736842113
Growth 1yr Consensus Est,-0.257120995423341
Growth 2yr Low Est,-0.009627144884531036
Growth 2yr High Est,0.09243150437794673
Growth 2yr Consensus Est,0.041402179746707846
Growth 5yr Low Est,0.03459752841031264
Growth 5yr High Est,0.11358551495918885
Growth 5yr Consensus Est,0.07409152168475075
Growth 5yr Actual/Est,0.09887549278318106
Growth 3yr Historic,0.08614933827782129
