,2015,2016,2017,2018,2019,2020,Report
high,52.49,42.18,47.65,45.96,35.82,27.6,
low,34.62,30.56,39.38,27.34,25.57,14.91,
change,-0.2956,0.11050000000000001,0.0768,-0.3224,-0.1151,-0.2503,
Date,2015-09-30 00:00:00,2016-09-30 00:00:00,2017-09-30 00:00:00,2018-09-30 00:00:00,2019-09-30 00:00:00,,Balance Sheet
Cash and Short Term Invs,8368.0,8483.0,8750.0,6911.0,5958.0,,Balance Sheet
"Total Receivables, Net",838.0,794.0,1002.0,848.0,839.0,,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Land/Improvements,631.0,638.0,655.0,702.0,869.0,,Balance Sheet
Machinery/Equipment,734.0,756.0,805.0,799.0,847.0,,Balance Sheet
Prop./Plant/Equip. - Gross,1365.0,1394.0,1460.0,1501.0,1716.0,,Balance Sheet
Accumulated Depreciation,-855.0,-871.0,-943.0,-966.0,-1032.0,,Balance Sheet
Prop./Plant/Equip. - Net,510.0,523.0,517.0,535.0,684.0,,Balance Sheet
"Goodwill, Net",1661.0,1661.0,1687.0,1795.0,2130.0,,Balance Sheet
Intangibles - Net,596.0,550.0,541.0,539.0,864.0,,Balance Sheet
LT Invt. - Affiliate Comp.,655.0,797.0,894.0,781.0,933.0,,Balance Sheet
LT Investments - Other,3454.0,3133.0,3968.0,2755.0,2926.0,,Balance Sheet
Long Term Investments,4109.0,3930.0,4861.0,3536.0,3860.0,,Balance Sheet
Def. Inc. Tax - LT Asset,101.0,,,,,,Balance Sheet
Other Assets,153.0,157.0,177.0,221.0,198.0,,Balance Sheet
"Other Assets, Total",153.0,157.0,177.0,221.0,198.0,,Balance Sheet
Total Assets,16336.0,16099.0,17534.0,14384.0,14532.0,,Balance Sheet
Payable/Accrued,232.0,233.0,292.0,227.0,304.0,,Balance Sheet
Accrued Expenses,433.0,357.0,397.0,406.0,502.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,33.0,51.0,,Balance Sheet
Dividends Payable,93.0,105.0,113.0,128.0,137.0,,Balance Sheet
Income Taxes Payable,,,,1035.0,825.0,,Balance Sheet
"Other Curr. Lblts, Total",93.0,105.0,113.0,1163.0,962.0,,Balance Sheet
Total Current Liabilities,,,,,,,Balance Sheet
Total Long Term Debt,2155.0,2083.0,1098.0,696.0,697.0,,Balance Sheet
Total Debt,2155.0,2083.0,1098.0,729.0,748.0,,Balance Sheet
Deferred Income Tax,241.0,162.0,171.0,127.0,120.0,,Balance Sheet
Minority Interest,714.0,654.0,2258.0,1352.0,1464.0,,Balance Sheet
"Other Liabilities, Total",626.0,569.0,587.0,482.0,525.0,,Balance Sheet
Total Liabilities,4495.0,4163.0,4914.0,4484.0,4626.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Common Stock,60.0,57.0,56.0,52.0,50.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),12095.0,12226.0,12849.0,10218.0,10288.0,,Balance Sheet
