,BIIB
% Below High,0.16260000000000002
% Held by Institutions,
52-Wk Range,['215.78 - 374.99']
Annual Dividend $,
Annual Dividend %,
Ask,316.0
Ask Size,100.0
Ask close,314.69
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,310.11
Bid Size,100.0
Bid close,313.16
Change Since Close,-0.02| |(-0.01%)
Closing Price,314.02
Day Change $,0.01
Day Change %,0.0
Day High,317.7
Day Low,311.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.469
Last (size),2.0
Last (time),3:59p ET 05/08/20
Last Trade,314.0
Market Cap,51.2B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",--x
Prev Close,314.01
Shares Outstanding,163.2M
Short Interest,
Today's Open,315.49
Volume,1126321.0
Volume 10-day Avg,1630055.0
Volume Past Day,(Light)
