,BKNG
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,-1.2638030490317265
Growth 1yr High Est,0.10126213592233024
Growth 1yr Consensus Est,-0.5812704565546981
Growth 2yr Low Est,-1.796095198861822
Growth 2yr High Est,0.14773941672251578
Growth 2yr Consensus Est,-0.8241778910696531
Growth 5yr Low Est,-0.8243801711762735
Growth 5yr High Est,0.15234187884459544
Growth 5yr Consensus Est,-0.33601914616583906
Growth 5yr Actual/Est,0.26724035811743463
Growth 3yr Historic,0.07744655977979997
