,BKR
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-1.7894736842105263
Growth 1yr High Est,-0.5757575757575757
Growth 1yr Consensus Est,-1.182615629984051
Growth 2yr Low Est,-1.26140350877193
Growth 2yr High Est,0.045454545454545414
Growth 2yr Consensus Est,-0.6079744816586923
Growth 5yr Low Est,-0.17233247052056377
Growth 5yr High Est,0.09147727272727268
Growth 5yr Consensus Est,-0.040427598896645545
Growth 5yr Actual/Est,0.21699114304812833
Growth 3yr Historic,0.19566761363636365
