,2015,2016,2017,2018,2019,2020,Report
high,372.95,399.46,520.74,594.52,506.81,576.81,
low,275.0,280.55,365.83,360.79,377.28,323.98,
change,-0.0786,0.1426,0.3356,-0.24280000000000002,0.3014,-0.022000000000000002,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,6231.0,6175.0,7038.0,6488.0,4829.0,,Balance Sheet
"Total Receivables, Net",2237.0,2115.0,2699.0,2657.0,3179.0,,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Buildings,523.0,538.0,,597.0,628.0,,Balance Sheet
Land/Improvements,6.0,6.0,,6.0,6.0,,Balance Sheet
Machinery/Equipment,509.0,546.0,,676.0,808.0,,Balance Sheet
Construction in Progress,51.0,5.0,,48.0,83.0,,Balance Sheet
Other Prop./Plant/Equip.,62.0,65.0,1250.0,66.0,739.0,,Balance Sheet
Prop./Plant/Equip. - Gross,1151.0,1160.0,1250.0,1393.0,2264.0,,Balance Sheet
Accumulated Depreciation,-570.0,-601.0,-658.0,-750.0,-880.0,,Balance Sheet
Prop./Plant/Equip. - Net,581.0,559.0,592.0,643.0,1384.0,,Balance Sheet
"Goodwill, Net",13123.0,13118.0,13220.0,13526.0,14562.0,,Balance Sheet
Intangibles - Gross,18117.0,18195.0,17608.0,18083.0,18554.0,,Balance Sheet
Accum. Intangible Amort.,-745.0,-832.0,-219.0,-244.0,-185.0,,Balance Sheet
Intangibles - Net,17372.0,17363.0,17389.0,17839.0,18369.0,,Balance Sheet
Long Term Investments,2608.0,2603.0,3474.0,4476.0,5489.0,,Balance Sheet
Restricted Cash - LT,,,,,17.0,,Balance Sheet
Other Assets,183109.0,178244.0,175829.0,113944.0,120793.0,,Balance Sheet
"Other Assets, Total",183109.0,178244.0,175829.0,113944.0,120793.0,,Balance Sheet
Total Assets,225261.0,220177.0,220241.0,159573.0,168622.0,,Balance Sheet
Payable/Accrued,1068.0,880.0,1161.0,1292.0,1167.0,,Balance Sheet
Accrued Expenses,1971.0,1880.0,2153.0,1988.0,2833.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Total Current Liabilities,,,,,,,Balance Sheet
Total Long Term Debt,4930.0,4915.0,5014.0,4979.0,4955.0,,Balance Sheet
Total Debt,4930.0,4915.0,5014.0,4979.0,4955.0,,Balance Sheet
Deferred Income Tax,4851.0,4840.0,3527.0,3571.0,3734.0,,Balance Sheet
Minority Interest,541.0,246.0,466.0,1166.0,1382.0,,Balance Sheet
"Other Liabilities, Total",183397.0,178318.0,176122.0,114203.0,121004.0,,Balance Sheet
Total Liabilities,196758.0,191079.0,188443.0,127199.0,135075.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",0.0,0.0,0.0,0.0,,,Balance Sheet
Common Stock,2.0,2.0,2.0,2.0,2.0,,Balance Sheet
Additional Paid-In Capital,19405.0,19337.0,19256.0,19168.0,19186.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),12033.0,13660.0,16939.0,19282.0,21662.0,,Balance Sheet
Treasury Stock - Common,-2489.0,-3185.0,-3967.0,-5387.0,-6732.0,,Balance Sheet
Unrealized Gain (Loss),-1.0,,,,,,Balance Sheet
Cum. Trans. Adjustment,-452.0,-721.0,-436.0,-695.0,120.0,,Balance Sheet
Min. Pension Lblty Adj.,5.0,5.0,4.0,4.0,,,Balance Sheet
