,BLL
Price/Earnings (TTM),47.30045
Price/Sales (TTM),1.87084
Price/Book (MRQ),7.95007
Price/Cash Flow (TTM),18.96288
5yr Low,28.98
5yr High,82.82
5yr Avg Return,0.11471666666666666
EPS Growth 5yr,0.0017130000000000001
Revenue Growth 5yr,0.060099900000000005
Dividend Growth 5yr,0.16165690000000002
Short Int Current Month,5406245.0
Short Int Prev Month,5496199.0
Short Int Pct of Float,0.0166362
Days to Cover,2.06612
Float,323.5916
Shares Outstanding,325.7851
Institutions Holding Shares,878.0
% Held by Institutions,0.820445
FCF Growth 5yr,-1.0029085547371688
