,BMY
Price/Earnings (TTM),75.45024
Price/Sales (TTM),4.454
Price/Book (MRQ),2.7676
Price/Cash Flow (TTM),27.19054
5yr Low,42.48
5yr High,77.12
5yr Avg Return,-0.001866666666666661
EPS Growth 5yr,0.1085349
Revenue Growth 5yr,0.1048749
Dividend Growth 5yr,0.0263519
Short Int Current Month,33049826.0
Short Int Prev Month,27442618.0
Short Int Pct of Float,0.0146262
Days to Cover,2.3684
Float,2259.385
Shares Outstanding,2262.463
Institutions Holding Shares,2725.0
% Held by Institutions,0.7620619999999999
FCF Growth 5yr,0.47112047386763206
