,BR
Next Earnings Announcement,
Growth Analysts,7.0
Growth 1yr Low Est,0.06465517241379337
Growth 1yr High Est,0.09442060085836901
Growth 1yr Consensus Est,0.07953788663608119
Growth 2yr Low Est,0.07078912466843512
Growth 2yr High Est,0.09819069258604729
Growth 2yr Consensus Est,0.0844899086272412
Growth 5yr Low Est,0.14986234294843587
Growth 5yr High Est,0.16129249736739382
Growth 5yr Consensus Est,0.15557742015791484
Growth 5yr Actual/Est,0.1554271753914438
Growth 3yr Historic,0.11270749616842174
