,BRK.B
Next Earnings Announcement,2020-08-01 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.0625
Growth 1yr High Est,0.05528134254689032
Growth 1yr Consensus Est,-0.003609328726554839
Growth 2yr Low Est,0.057638888888888906
Growth 2yr High Est,0.05149474049701863
Growth 2yr Consensus Est,0.05456681469295377
Growth 5yr Low Est,0.03842592592592594
Growth 5yr High Est,0.034329826998012423
Growth 5yr Consensus Est,0.03637787646196918
Growth 5yr Actual/Est,0.20019845673746506
Growth 3yr Historic,0.17203784830115632
