,BSX
% Below High,0.18100000000000002
% Held by Institutions,0.9362
52-Wk Range,['24.10 - 46.62']
Annual Dividend $,
Annual Dividend %,
Ask,38.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,37.75
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,38.18
Day Change $,1.18
Day Change %,0.0319
Day High,38.36
Day Low,37.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.03
Ex-dividend Date,No dividend
Historical Volatility,0.401
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,53.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.2
Prev Close,37.0
Shares Outstanding,1.4B
Short Interest,0.0086
Today's Open,37.5
Volume,10191938.0
Volume 10-day Avg,8807547.0
Volume Past Day,(Above Average)
