,BWA
% Above Low,0.7288
% Held by Institutions,0.9449
52-Wk Range,['17.00 - 46.60']
Annual Dividend $,0.68
Annual Dividend %,0.024399999999999998
Ask,29.93
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,27.55
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,29.39
Day Change $,1.55
Day Change %,0.0557
Day High,29.5
Day Low,28.39
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",3.46
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.465
Last (size),12.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,6.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.04
Prev Close,27.84
Shares Outstanding,207.3M
Short Interest,0.0766
Today's Open,28.54
Volume,3957200.0
Volume 10-day Avg,3668385.0
Volume Past Day,(Average)
