,BXP
% Above Low,0.12560000000000002
% Held by Institutions,0.9771
52-Wk Range,['77.21 - 147.83']
Annual Dividend $,3.92
Annual Dividend %,0.045700000000000005
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,87.01
Bid Size,
Change Since Close,0.00| |(0.00%)
Closing Price,86.91
Day Change $,1.06
Day Change %,0.0123
Day High,88.6
Day Low,86.13
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",5.87
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.44799999999999995
Last (size),49.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,13.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",14.63
Prev Close,85.85
Short Interest,0.0148
Today's Open,87.86
Volume,1843639.0
Volume 10-day Avg,1423549.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.46178343949044565
Growth 1yr High Est,0.44744744744744747
Growth 1yr Consensus Est,0.45461544346894656
Growth 2yr Low Est,-0.04361808417634583
Growth 2yr High Est,0.004844055673931202
Growth 2yr Consensus Est,-0.019387014251207313
Growth 5yr Low Est,0.0007604023562715612
Growth 5yr High Est,0.03462541766747407
Growth 5yr Consensus Est,0.017692910011872814
Growth 5yr Actual/Est,0.0176430393777956
Growth 3yr Historic,0.038672631676044594
Price/Earnings (TTM),14.62581
Price/Sales (TTM),4.46324
Price/Book (MRQ),2.28011
Price/Cash Flow (TTM),7.52548
5yr Low,77.21
5yr High,147.83
5yr Avg Return,-0.048583333333333326
EPS Growth 5yr,0.0315311
Revenue Growth 5yr,0.043136900000000006
Dividend Growth 5yr,0.07885239999999999
Short Int Current Month,2301432.0
Short Int Prev Month,2250683.0
Short Int Pct of Float,0.014840800000000001
Days to Cover,1.58012
Float,155.0802
Shares Outstanding,155.309
Institutions Holding Shares,740.0
FCF Growth 5yr,-0.9596108807675149
"Price/Earnings (TTM, GAAP)",14.63
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6322
Operating Profit Margin (TTM),0.3472
Net Profit Margin (TTM),0.3675
Annual Dividend Yield,0.045700000000000005
Dividend Change %,0.1343
"Dividend Growth Rate, 3 Years",0.1348
EPS Growth (MRQ),2.5263999999999998
EPS Growth (TTM),0.8365
Revenue Growth (MRQ),-0.006500000000000001
Revenue Growth (TTM),0.0739
Return On Equity (TTM),0.1585
Return On Assets (TTM),0.0519
Return On Investment (TTM),0.0608
Revenue Per Employee (TTM),3930725.0
Total Debt/Total Capital (MRQ),0.5934
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.61
newConstructs,3
researchTeam,reduce
theStreet,hold
cfra,3
ford,1
marketEdge opinion,avoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-28 00:00:00
theStreet since,2020-03-26 00:00:00
cfra since,2020-04-30 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
