,2015,2016,2017,2018,2019,2020,Report
high,135.49,144.02,140.13,132.82,140.35,147.83,
low,94.91,107.28,116.77,107.84,107.94,77.21,
change,-0.0395,0.004,0.0182,-0.1368,0.23420000000000002,-0.3716,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,724.0,357.0,435.0,543.0,645.0,,Balance Sheet
"Trade Accts Recvble, Gross",,116.0,119.0,102.0,142.0,,Balance Sheet
Prov. for Doubtful Accts,,-24.0,-27.0,-16.0,-29.0,,Balance Sheet
"Trade Accts Recvble, Net",98.0,93.0,92.0,87.0,113.0,,Balance Sheet
Other Receivables,755.0,799.0,862.0,935.0,1039.0,,Balance Sheet
"Total Receivables, Net",853.0,892.0,954.0,1022.0,1152.0,,Balance Sheet
Prepaid Expenses,185.0,130.0,78.0,81.0,42.0,,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Prop./Plant/Equip. - Gross,19482.0,20147.0,21097.0,21650.0,22889.0,,Balance Sheet
Accumulated Depreciation,-3926.0,-4222.0,-4590.0,-4898.0,-5267.0,,Balance Sheet
Prop./Plant/Equip. - Net,15556.0,15925.0,16507.0,16752.0,17622.0,,Balance Sheet
LT Invt. - Affiliate Comp.,235.0,775.0,620.0,956.0,956.0,,Balance Sheet
LT Investments - Other,20.0,24.0,29.0,28.0,37.0,,Balance Sheet
Long Term Investments,256.0,799.0,649.0,985.0,992.0,,Balance Sheet
Note Rcvble - Long Term,,,,99.0,96.0,,Balance Sheet
Deferred Charges,705.0,686.0,679.0,679.0,689.0,,Balance Sheet
Restricted Cash - LT,74.0,63.0,71.0,96.0,47.0,,Balance Sheet
Total Assets,18351.0,18852.0,19372.0,20256.0,21285.0,,Balance Sheet
Payable/Accrued,275.0,299.0,332.0,277.0,378.0,,Balance Sheet
Accrued Expenses,190.0,244.0,84.0,89.0,290.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
"Other Curr. Lblts, Total",327.0,130.0,139.0,165.0,171.0,,Balance Sheet
Total Current Liabilities,,,,,,,Balance Sheet
Long Term Debt,9189.0,9796.0,10272.0,11008.0,11812.0,,Balance Sheet
Capital Lease Obligations,,,,,224.0,,Balance Sheet
Total Long Term Debt,9189.0,9796.0,10272.0,11008.0,12036.0,,Balance Sheet
Total Debt,9189.0,9796.0,10272.0,11008.0,12036.0,,Balance Sheet
Minority Interest,2177.0,2146.0,2288.0,2331.0,2330.0,,Balance Sheet
"Other Liabilities, Total",484.0,451.0,444.0,504.0,396.0,,Balance Sheet
Total Liabilities,12642.0,13065.0,13558.0,14373.0,15600.0,,Balance Sheet
Redeemable Preferred Stock,200.0,200.0,200.0,200.0,200.0,,Balance Sheet
Common Stock,2.0,2.0,2.0,2.0,2.0,,Balance Sheet
Additional Paid-In Capital,6306.0,6333.0,6378.0,6408.0,6295.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),-781.0,-694.0,-712.0,-676.0,-761.0,,Balance Sheet
Treasury Stock - Common,-3.0,-3.0,-3.0,-3.0,-3.0,,Balance Sheet
"Other Equity, Total",-14.0,-52.0,-50.0,-48.0,-48.0,,Balance Sheet
Total Equity,5709.0,5786.0,5814.0,5883.0,5685.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,18351.0,18852.0,19372.0,20256.0,21285.0,,Balance Sheet
Ttl Comm. Shares Outs.,154.0,154.0,154.0,154.0,155.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Trsry Shrs-Pref. Iss. 1,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,2491.0,2551.0,2602.0,2717.0,2961.0,,Income Statement
"Cost of Revenue, Total",904.0,921.0,962.0,1023.0,1094.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",96.0,105.0,114.0,122.0,141.0,,Income Statement
Depreciation/Amortization,640.0,694.0,618.0,646.0,678.0,,Income Statement
Impair-Assets Held for Use,0.0,2.0,0.0,12.0,24.0,,Income Statement
Other Unusual Expnse (In),23.0,-57.0,0.0,18.0,32.0,,Income Statement
Unusual Expense (Income),23.0,-55.0,0.0,30.0,56.0,,Income Statement
Total Operating Expense,1663.0,1666.0,1693.0,1820.0,1969.0,,Income Statement
Total Operating Income,827.0,885.0,909.0,897.0,992.0,,Income Statement
"Inter Expse, Non-Operating",-466.0,-452.0,-436.0,-444.0,-413.0,,Income Statement
"Inter Capital, Non-Operat",34.0,39.0,61.0,66.0,,,Income Statement
"Inter Expse,Net Non-Operat",-432.0,-413.0,-374.0,-378.0,-413.0,,Income Statement
"Inter Income, Non-Operating",7.0,7.0,6.0,11.0,19.0,,Income Statement
"Invest Income, Non-Operat",22.0,10.0,15.0,0.0,53.0,,Income Statement
"Inter/Invest Inc, Non-Oper",29.0,17.0,21.0,11.0,72.0,,Income Statement
Gain(Loss)on Sale of Assets,376.0,81.0,8.0,182.0,1.0,,Income Statement
Income Before Tax,800.0,570.0,562.0,713.0,652.0,,Income Statement
Income After Tax,800.0,570.0,562.0,713.0,652.0,,Income Statement
Minority Interest,-217.0,-57.0,-100.0,-130.0,-130.0,,Income Statement
Net Inc Before Extra Items,583.0,513.0,462.0,583.0,522.0,,Income Statement
Total Extraordinary Items,0.0,,,,,,Income Statement
Total Net Income,583.0,513.0,462.0,583.0,522.0,,Income Statement
Total Adjust to Net Income,-11.0,-11.0,-11.0,-11.0,-11.0,,Income Statement
Income Available to Common Excl. Extra. Items,573.0,502.0,452.0,572.0,511.0,,Income Statement
Income Available to Common Incl. Extra. Items,573.0,502.0,452.0,572.0,511.0,,Income Statement
Basic/Primary Weighted Average Shares,153.0,154.0,154.0,154.0,155.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,3.73,3.27,2.93,3.71,3.31,,Income Statement
Basic/Primary EPS Incl. Extra. Items,3.73,3.27,2.93,3.71,3.31,,Income Statement
Dilution Adjustment,0.0,,,,,,Income Statement
Diluted Weighted Average Shares,154.0,154.0,154.0,155.0,155.0,,Income Statement
Diluted EPS Excl. Extra. Items,3.72,3.26,2.93,3.7,3.3,,Income Statement
Diluted EPS Incl. Extra. Items,3.72,3.26,2.93,3.7,3.3,,Income Statement
Div/Share-ComStockPrimIssue,2.6,2.6,3.0,3.35,3.8,,Income Statement
Gross Divid - Common Stock,602.0,426.0,481.0,551.0,603.0,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",432.0,413.0,374.0,378.0,358.0,,Income Statement
"Interest Capitalized, Suppl",-34.0,-39.0,-61.0,-66.0,-55.0,,Income Statement
"Depreciat/Amort, Suppl",640.0,694.0,618.0,646.0,678.0,,Income Statement
Funds From Operats - REIT,824.0,928.0,959.0,974.0,1086.0,,Income Statement
Total Special Items,-353.0,-135.0,-7.0,-152.0,55.0,,Income Statement
Normalzd Income Before Tax,447.0,435.0,555.0,560.0,707.0,,Income Statement
Efct/SpecItemsIncTxs (STEC),0.0,0.0,0.0,0.0,0.0,,Income Statement
IncTxsExcl ImpctofSpec Itms,0.0,0.0,0.0,0.0,0.0,,Income Statement
Normalized Income After Tax,447.0,435.0,555.0,560.0,707.0,,Income Statement
Normalzd Inc Avail to Common,220.0,367.0,444.0,420.0,566.0,,Income Statement
Basic Normalized EPS,1.43,2.39,2.88,2.72,3.66,,Income Statement
Diluted Normalized EPS,1.43,2.38,2.88,2.71,3.65,,Income Statement
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Cash Flow
Net Income,800.0,570.0,562.0,713.0,652.0,,Cash Flow
Depreciation/Depletion,640.0,694.0,618.0,646.0,678.0,,Cash Flow
Discontinued Operations,0.0,,,,,,Cash Flow
Unusual Items,-353.0,-81.0,-12.0,-152.0,46.0,,Cash Flow
Equity in Net Earnings/Loss,-23.0,-67.0,-11.0,-2.0,-47.0,,Cash Flow
Other Non-Cash Items,-5.0,23.0,59.0,68.0,82.0,,Cash Flow
Non-Cash Items,-381.0,-125.0,36.0,-87.0,82.0,,Cash Flow
"Cash Interest Pd, Suppl",482.0,434.0,598.0,416.0,439.0,,Cash Flow
Accounts Receivable,-120.0,-24.0,-56.0,-14.0,-82.0,,Cash Flow
Prepaid Expenses,-17.0,53.0,51.0,12.0,3.0,,Cash Flow
Other Assets,-18.0,,,,,,Cash Flow
Accrued Expenses,27.0,54.0,-161.0,5.0,2.0,,Cash Flow
Payable/Accrued,-6.0,16.0,10.0,1.0,13.0,,Cash Flow
Changes in Working Capital,-259.0,-104.0,-304.0,-121.0,-230.0,,Cash Flow
Total Cash from Operations,799.0,1035.0,912.0,1150.0,1181.0,,Cash Flow
Capital Expenditures,-632.0,-959.0,-1052.0,-1095.0,-1127.0,,Cash Flow
Sale of Fixed Assets,1237.0,123.0,30.0,455.0,91.0,,Cash Flow
Sale/Maturity of Investment,25.0,56.0,0.0,0.0,137.0,,Cash Flow
"Investment, Net",-669.0,19.0,249.0,-1.0,-2.0,,Cash Flow
Purchase of Investments,-38.0,-576.0,-109.0,-346.0,-87.0,,Cash Flow
Other Investing Cash Flow,-202.0,0.0,0.0,-113.0,-26.0,,Cash Flow
"OtherInvestCashFlowItms,Tot",352.0,-378.0,170.0,-4.0,112.0,,Cash Flow
Total Cash from Investing,-280.0,-1337.0,-882.0,-1099.0,-1015.0,,Cash Flow
Financing Cash Flow Items,-277.0,-65.0,-69.0,-61.0,-234.0,,Cash Flow
Total Cash Dividends Paid,-1226.0,-672.0,-527.0,-588.0,-666.0,,Cash Flow
"Common Stock, Net",1.0,0.0,0.0,-1.0,14.0,,Cash Flow
"Preferred Stock, Net",-1.0,,,,,,Cash Flow
"Iss (Retirmnt) of Stock,Net",0.0,0.0,0.0,-1.0,14.0,,Cash Flow
Long Term Debt Issued,,0.0,2300.0,0.0,0.0,,Cash Flow
Long Term Debt Reduction,0.0,,,,,,Cash Flow
"Long Term Debt, Net",0.0,0.0,1452.0,-700.0,0.0,,Cash Flow
Total Debt Issued,0.0,2015.0,1428.0,2241.0,1928.0,,Cash Flow
Total Debt Reduction,-55.0,-1353.0,-2230.0,-810.0,-1155.0,,Cash Flow
"Iss (Retirmnt) of Debt, Net",-55.0,662.0,650.0,732.0,773.0,,Cash Flow
