,C
Next Earnings Announcement,2020-07-14 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-1.243393602225313
Growth 1yr High Est,-0.4358381502890174
Growth 1yr Consensus Est,-0.8396158762571652
Growth 2yr Low Est,-1.9959825153983708
Growth 2yr High Est,0.32716289206860594
Growth 2yr Consensus Est,-0.8344098116648824
Growth 5yr Low Est,-0.9028253451803316
Growth 5yr High Est,0.29820740407131485
Growth 5yr Consensus Est,-0.3023089705545084
Growth 5yr Actual/Est,0.22219213919778255
Growth 3yr Historic,0.11416933515778188
