,CAG
Next Earnings Announcement,2020-06-25 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.039408866995073843
Growth 1yr High Est,0.13461538461538458
Growth 1yr Consensus Est,0.08701212580522921
Growth 2yr Low Est,-0.02057992669203651
Growth 2yr High Est,0.09273142112125166
Growth 2yr Consensus Est,0.03607574721460757
Growth 5yr Low Est,0.04387376801478954
Growth 5yr High Est,0.09719265969910523
Growth 5yr Consensus Est,0.07053321385694739
Growth 5yr Actual/Est,0.07283305810081914
Growth 3yr Historic,0.04131257830800239
