,CAH
% Below High,0.17809999999999998
% Held by Institutions,0.8939
52-Wk Range,['39.05 - 60.69']
Annual Dividend $,1.92
Annual Dividend %,0.0397
Ask,50.5
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.0
Bid,50.14
Bid Size,500.0
Change Since Close,0.31| |(0.62%)
Closing Price,49.88
Day Change $,1.36
Day Change %,0.027999999999999997
Day High,50.24
Day Low,48.16
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",-14.24
Ex-dividend,2020-03-31 00:00:00
Ex-dividend Date,03/31/20
Historical Volatility,0.414
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,50.19
Market Cap,14.6B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",
Prev Close,48.52
Short Interest,0.0151
Today's Open,49.31
Volume,2768146.0
Volume 10-day Avg,2870430.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.1524752475247524
Growth 1yr High Est,0.05048543689320373
Growth 1yr Consensus Est,-0.05099490531577433
Growth 2yr Low Est,-0.018994633108170622
Growth 2yr High Est,0.11489151696785882
Growth 2yr Consensus Est,0.0479484419298441
Growth 5yr Low Est,-0.021895241999291853
Growth 5yr High Est,0.04799369595924119
Growth 5yr Consensus Est,0.013049226979974668
Growth 5yr Actual/Est,0.008561158307545585
Growth 3yr Historic,-0.004518518518518533
Price/Earnings (TTM),
Price/Sales (TTM),0.0946
Price/Book (MRQ),14.18202
Price/Cash Flow (TTM),
5yr Low,39.05
5yr High,91.23
5yr Avg Return,-0.07476666666666666
EPS Growth 5yr,0.060800900000000005
Revenue Growth 5yr,0.0982582
Dividend Growth 5yr,0.0950427
Short Int Current Month,4403567.0
Short Int Prev Month,3627298.0
Short Int Pct of Float,0.015119
Days to Cover,1.86769
Float,291.3322
Shares Outstanding,291.7835
Institutions Holding Shares,979.0
FCF Growth 5yr,0.2857734616490869
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.045599999999999995
Operating Profit Margin (TTM),-0.027999999999999997
Net Profit Margin (TTM),-0.0281
Annual Dividend Yield,0.039700000000000006
Dividend Change %,0.0301
"Dividend Growth Rate, 3 Years",0.0717
EPS Growth (MRQ),1.045
EPS Growth (TTM),-64.2212
Revenue Growth (MRQ),0.0641
Revenue Growth (TTM),0.054400000000000004
Return On Equity (TTM),-1.1963
Return On Assets (TTM),-0.1033
Return On Investment (TTM),-0.25680000000000003
Revenue Per Employee (TTM),3023374.0
Total Debt/Total Capital (MRQ),0.8879000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),0.48
Interest Coverage (MRQ),8.25
newConstructs,3
researchTeam,reduce
theStreet,sell
cfra,3
ford,2
marketEdge opinion,neutralfromlong
marketEdge,-3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-11-08 00:00:00
theStreet since,2019-11-08 00:00:00
cfra since,2018-08-07 00:00:00
ford since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-04-22 00:00:00
